update,ID,Simple_numOffspring,alive,ancestors_AVE,ancestors_LIST,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST
980,98100,2,1,97046.033898,"97068,97012,97074,97001,97006,97085,97023,97060,97034,97059,97069,97049,97019,97073,97036,97030,97067,97072,97011,97100,97021,97063,97076,97039,97002,97005,97084,97077,97040,97066,97016,97095,97070,97033,97007,97075,97058,97025,97065,97041,97004,97029,97020,97015,97094,97054,97017,97046,97018,97055,97089,97048,97024,97061,97038,97047,97053,97027,97071",1.000000,"1,1",0,0,0,24,0,0.000000,"0,0",8.000000,"10,6",0.000000,"0,0",0.000000,"0,0",6.500000,"6,7",4941,9.000000,16.500000,"15,18",9.000000,"9.000000,9.000000",5.500000,"7,4",979,0.000000,"0,0"
980,98098,4,1,97045.483333,"97053,97054,97017,97048,97011,97038,97075,97040,97025,97059,97046,97076,97002,97039,97020,97094,97015,97023,97060,97024,97007,97073,97036,97027,97049,97012,97047,97068,97016,97095,97070,97033,97029,97066,97063,97100,97021,97058,97030,97067,97013,97019,97005,97084,97072,97041,97004,97089,97018,97055,97065,97034,97061,97085,97006,97071,97001,97074,97077,97069",8.000000,"10,6",0,0,0,25,0,8.000000,"10,6",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5066,8.000000,40.500000,"3,78",8.000000,"10.000000,6.000000",0.000000,"0,0",979,0.000000,"0,0"
980,98003,3,1,97045.483333,"97060,97076,97039,97002,97072,97029,97066,97047,97084,97005,97070,97033,97017,97054,97038,97001,97075,97100,97021,97063,97016,97095,97046,97012,97018,97055,97069,97036,97073,97059,97025,97011,97071,97065,97020,97015,97094,97027,97061,97024,97023,97077,97074,97058,97067,97030,97034,97068,97041,97004,97089,97053,97019,97006,97085,97048,97013,97040,97049,97007",10.000000,"10,10",0,0,0,33,0,10.000000,"10,10",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",4945,10.000000,11.000000,"2,20",10.000000,"10.000000,10.000000",0.000000,"0,0",979,0.000000,"0,0"
980,98004,1,1,97045.483333,"97053,97054,97017,97048,97011,97038,97075,97040,97025,97059,97046,97076,97002,97039,97020,97094,97015,97023,97060,97024,97007,97073,97036,97027,97049,97012,97047,97068,97016,97095,97070,97033,97029,97066,97063,97100,97021,97058,97030,97067,97013,97019,97005,97084,97072,97041,97004,97089,97018,97055,97065,97034,97061,97085,97006,97071,97001,97074,97077,97069",6.000000,"3,9",0,0,0,30,0,6.000000,"3,9",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5041,6.000000,4.500000,"4,5",6.000000,"3.000000,9.000000",0.000000,"0,0",979,0.000000,"0,0"
980,98097,4,1,97045.483333,"97001,97038,97075,97021,97100,97058,97095,97016,97024,97061,97030,97067,97054,97017,97069,97055,97018,97013,97034,97071,97039,97076,97002,97019,97077,97020,97094,97015,97074,97011,97063,97046,97073,97027,97068,97005,97084,97065,97012,97049,97041,97004,97059,97089,97072,97036,97070,97033,97048,97085,97006,97023,97060,97066,97029,97007,97025,97040,97053,97047",1.000000,"1,1",0,0,0,12,0,0.000000,"0,0",0.000000,"0,0",5.000000,"7,3",7.000000,"13,1",0.000000,"0,0",4309,5.000000,2.500000,"5,0",5.000000,"8.000000,2.000000",7.000000,"12,2",979,0.000000,"0,0"
980,98095,2,1,97045.483333,"97060,97076,97039,97002,97072,97029,97066,97047,97084,97005,97070,97033,97017,97054,97038,97001,97075,97100,97021,97063,97016,97095,97046,97012,97018,97055,97069,97036,97073,97059,97025,97011,97071,97065,97020,97015,97094,97027,97061,97024,97023,97077,97074,97058,97067,97030,97034,97068,97041,97004,97089,97053,97019,97006,97085,97048,97013,97040,97049,97007",11.000000,"12,10",0,0,0,28,0,11.000000,"12,10",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",4731,11.000000,11.000000,"17,5",11.000000,"12.000000,10.000000",0.000000,"0,0",979,0.000000,"0,0"
980,98007,4,1,97046.000000,"97060,97076,97039,97002,97072,97029,97066,97047,97084,97005,97070,97033,97017,97054,97038,97001,97075,97100,97021,97063,97016,97095,97046,97012,97018,97055,97069,97036,97073,97059,97025,97011,97071,97065,97020,97094,97027,97061,97024,97023,97077,97074,97058,97067,97030,97034,97068,97041,97004,97089,97053,97019,97006,97085,97048,97013,97040,97049,97007",1.000000,"1,1",0,0,0,20,0,0.000000,"0,0",0.000000,"0,0",5.000000,"3,7",9.000000,"4,14",0.000000,"0,0",4926,9.000000,2.500000,"2,3",9.000000,"4.000000,14.000000",5.000000,"3,7",979,0.000000,"0,0"
980,98008,1,1,97045.568966,"97005,97084,97023,97075,97001,97073,97036,97048,97085,97006,97068,97034,97049,97012,97027,97074,97030,97067,97018,97055,97066,97047,97089,97100,97021,97063,97007,97058,97053,97024,97061,97077,97040,97039,97076,97054,97017,97016,97095,97025,97046,97041,97004,97019,97033,97070,97065,97020,97094,97029,97059,97002,97013,97060,97038,97072,97069,97011",8.500000,"4,13",0,1,0,18,0,8.500000,"4,13",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",4186,8.500000,5.500000,"7,4",8.500000,"4.000000,13.000000",0.000000,"0,0",979,0.000000,"0,0"
980,98009,2,1,97045.483333,"97071,97007,97013,97067,97030,97054,97017,97048,97011,97038,97075,97040,97025,97059,97046,97076,97002,97039,97016,97095,97024,97027,97073,97036,97033,97070,97049,97012,97068,97029,97066,97063,97100,97021,97058,97020,97015,97094,97060,97023,97019,97005,97084,97072,97041,97004,97089,97018,97055,97065,97034,97061,97085,97006,97069,97001,97047,97077,97074,97053",6.500000,"13,0",0,1,0,24,0,6.500000,"13,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",4893,6.500000,3.500000,"7,0",6.500000,"13.000000,0.000000",0.000000,"0,0",979,0.000000,"0,0"
980,98094,2,1,97045.263158,"97069,97025,97058,97021,97100,97063,97029,97066,97070,97033,97067,97030,97023,97060,97048,97011,97074,97015,97094,97071,97020,97018,97055,97027,97016,97084,97005,97047,97046,97049,97012,97036,97073,97039,97076,97002,97019,97013,97034,97077,97040,97059,97017,97054,97089,97072,97041,97004,97075,97038,97085,97006,97065,97024,97061,97068,97007",8.000000,"11,5",0,0,0,30,0,8.000000,"11,5",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5019,8.000000,10.500000,"2,19",8.000000,"11.000000,5.000000",0.000000,"0,0",979,0.000000,"0,0"
