update,ID,Simple_numOffspring,alive,ancestors_AVE,ancestors_LIST,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST
730,73001,3,1,72051.901639,"72047,72043,72052,72035,72069,72037,72093,72056,72013,72087,72070,72076,72002,72068,72031,72034,72082,72003,72077,72027,72094,72015,72017,72096,72029,72066,72046,72009,72083,72004,72100,72021,72059,72058,72036,72073,72065,72028,72084,72078,72061,72098,72063,72012,72006,72085,72030,72025,72045,72079,72038,72080,72001,72075,72095,72016,72089,72022,72032,72097,72054",1.000000,"0,2",0,0,0,27,0,0.500000,"1,0",12.000000,"9,15",0.000000,"0,0",0.000000,"0,0",7.000000,"8,6",5307,10.500000,6.500000,"10,3",10.500000,"11.000000,10.000000",9.000000,"7,11",729,0.000000,"0,0"
730,73002,4,1,72051.206349,"72097,72055,72034,72085,72006,72022,72059,72002,72076,72025,72073,72036,72043,72082,72003,72077,72079,72004,72083,72009,72075,72038,72016,72095,72061,72027,72005,72084,72047,72094,72015,72089,72052,72068,72031,72028,72065,72100,72021,72063,72093,72056,72058,72046,72069,72032,72035,72029,72066,72054,72096,72017,72037,72098,72030,72045,72078,72012,72080,72001,72070,72013,72087",1.500000,"1,2",0,0,0,33,0,7.000000,"10,4",0.500000,"0,1",0.000000,"0,0",9.500000,"6,13",0.000000,"0,0",5111,10.500000,3.000000,"1,5",10.500000,"8.000000,13.000000",6.500000,"8,5",729,0.000000,"0,0"
730,73100,3,1,72052.704918,"72097,72058,72075,72038,72066,72029,72100,72021,72063,72070,72045,72079,72034,72017,72096,72054,72025,72004,72083,72009,72046,72012,72056,72059,72022,72035,72013,72087,72036,72076,72002,72068,72031,72052,72089,72055,72032,72047,72084,72085,72082,72003,72077,72015,72094,72030,72065,72028,72061,72078,72073,72043,72001,72080,72095,72016,72027,72093,72069,72037,72098",0.500000,"1,0",0,0,0,28,0,8.000000,"13,3",0.000000,"0,0",0.000000,"0,0",7.000000,"11,3",0.000000,"0,0",5197,9.000000,4.500000,"5,4",9.000000,"15.000000,3.000000",6.000000,"9,3",729,0.000000,"0,0"
730,73004,4,1,72050.600000,"72061,72098,72017,72096,72054,72089,72052,72093,72056,72032,72016,72095,72058,72030,72077,72028,72065,72022,72059,72097,72012,72080,72001,72068,72031,72013,72087,72073,72036,72070,72005,72084,72075,72038,72004,72083,72046,72009,72006,72085,72034,72063,72021,72100,72076,72002,72025,72047,72078,72027,72037,72035,72029,72079,72045,72015,72094,72043,72082,72003",1.000000,"1,1",0,0,0,23,0,8.000000,"10,6",0.000000,"0,0",0.000000,"0,0",11.000000,"12,10",0.000000,"0,0",5455,9.000000,1.500000,"2,1",9.000000,"11.000000,7.000000",10.000000,"11,9",729,0.000000,"0,0"
730,73005,2,1,72050.919355,"72066,72098,72002,72037,72056,72068,72031,72030,72016,72095,72043,72063,72100,72021,72058,72028,72065,72003,72082,72075,72012,72036,72073,72079,72005,72084,72047,72096,72017,72022,72059,72025,72078,72004,72083,72054,72034,72045,72076,72006,72085,72009,72046,72015,72094,72080,72001,72038,72052,72089,72035,72032,72097,72029,72087,72013,72027,72077,72070,72061,72055,72093",1.500000,"1,2",0,0,0,28,0,0.000000,"0,0",0.000000,"0,0",14.000000,"12,16",0.000000,"0,0",8.000000,"9,7",5372,15.000000,3.500000,"6,1",15.000000,"12.000000,18.000000",7.000000,"9,5",729,0.000000,"0,0"
730,73098,4,1,72049.677419,"72069,72066,72007,72061,72017,72096,72054,72089,72052,72093,72056,72032,72016,72095,72058,72030,72077,72028,72065,72022,72059,72097,72012,72080,72001,72068,72031,72013,72087,72073,72036,72070,72005,72084,72075,72038,72004,72083,72046,72009,72006,72085,72034,72063,72021,72100,72076,72002,72025,72047,72078,72027,72037,72035,72029,72079,72045,72015,72094,72043,72082,72003",1.000000,"1,1",0,0,0,23,0,0.000000,"0,0",0.000000,"0,0",9.500000,"13,6",0.000000,"0,0",7.500000,"6,9",5053,11.500000,4.500000,"2,7",11.500000,"14.000000,9.000000",5.500000,"5,6",729,0.000000,"0,0"
730,73007,3,1,72051.450000,"72061,72034,72077,72003,72089,72052,72094,72015,72065,72028,72079,72009,72083,72046,72029,72012,72038,72016,72095,72013,72025,72056,72093,72073,72036,72076,72002,72047,72084,72027,72007,72097,72032,72035,72096,72017,72054,72058,72070,72087,72031,72068,72006,72085,72001,72080,72043,72063,72021,72100,72045,72030,72078,72037,72059,72075,72022,72069,72066,72098",1.000000,"1,1",0,0,0,33,0,7.000000,"5,9",0.000000,"0,0",0.000000,"0,0",4.000000,"2,6",0.000000,"0,0",5489,6.500000,16.000000,"28,4",6.500000,"3.000000,10.000000",4.500000,"4,5",729,0.000000,"0,0"
730,73008,1,1,72051.145161,"72066,72093,72069,72098,72065,72056,72094,72015,72029,72100,72021,72063,72054,72003,72082,72077,72070,72087,72013,72045,72097,72073,72036,72002,72032,72025,72005,72084,72016,72095,72035,72052,72089,72046,72009,72043,72006,72085,72031,72068,72047,72028,72076,72030,72034,72083,72004,72078,72080,72001,72038,72079,72059,72017,72096,72037,72061,72027,72058,72012,72022,72075",1.500000,"1,2",0,0,0,27,0,0.000000,"0,0",0.000000,"0,0",6.000000,"8,4",0.000000,"0,0",4.000000,"7,1",5262,6.500000,2.000000,"3,1",6.500000,"9.000000,4.000000",3.500000,"6,1",729,0.000000,"0,0"
730,73097,2,1,72050.393443,"72034,72085,72006,72022,72059,72002,72076,72025,72073,72036,72043,72082,72003,72077,72079,72004,72083,72009,72075,72038,72016,72095,72061,72027,72005,72084,72047,72094,72015,72089,72052,72068,72031,72028,72065,72100,72021,72063,72093,72056,72058,72046,72069,72032,72035,72029,72066,72054,72096,72017,72037,72098,72030,72045,72078,72012,72080,72001,72070,72013,72087",1.000000,"1,1",0,0,0,22,0,0.000000,"0,0",0.000000,"0,0",10.500000,"13,8",0.000000,"0,0",6.000000,"8,4",5181,7.500000,6.500000,"5,8",7.500000,"11.000000,4.000000",9.000000,"10,8",729,0.000000,"0,0"
730,73010,1,1,72051.206349,"72061,72054,72066,72055,72093,72069,72076,72002,72037,72056,72068,72031,72030,72016,72095,72006,72085,72043,72063,72100,72021,72058,72036,72073,72079,72005,72084,72012,72075,72098,72047,72059,72025,72078,72004,72083,72096,72017,72034,72045,72082,72003,72028,72065,72009,72046,72015,72094,72080,72001,72038,72052,72089,72035,72032,72097,72029,72087,72013,72027,72077,72070,72022",1.000000,"1,1",0,0,0,21,0,0.000000,"0,0",0.000000,"0,0",5.000000,"6,4",0.000000,"0,0",6.000000,"10,2",5345,4.500000,5.000000,"8,2",4.500000,"7.000000,2.000000",6.500000,"9,4",729,0.000000,"0,0"
