update,ID,Simple_numOffspring,alive,ancestors_AVE,ancestors_LIST,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST
680,68099,4,1,67049.914286,"67095,67016,67014,67088,67090,67011,67053,67019,67098,67028,67065,67061,67066,67077,67040,67050,67087,67018,67097,67073,67038,67031,67076,67041,67064,67027,67045,67054,67030,67067,67070,67049,67032,67071,67034,67006,67060,67026,67021,67100,67059,67080,67001,67068,67017,67020,67069,67072,67055,67048,67052,67089,67010,67015,67042,67075,67081,67007,67086,67082,67003,67004,67046,67033,67074,67025,67062,67035,67039,67057",1.500000,"1,2",0,1,0,20,0,0.000000,"0,0",15.000000,"10,20",0.000000,"0,0",10.000000,"13,7",0.000000,"0,0",4950,18.000000,2.000000,"2,2",18.000000,"12.000000,24.000000",7.000000,"11,3",679,0.000000,"0,0"
680,68002,1,1,67049.471429,"67090,67020,67050,67059,67014,67088,67065,67028,67038,67075,67077,67040,67074,67052,67049,67086,67007,67053,67081,67064,67042,67046,67071,67034,67054,67031,67019,67098,67026,67035,67069,67082,67003,67045,67039,67076,67025,67041,67004,67061,67087,67027,67033,67067,67068,67016,67095,67010,67089,67055,67018,67097,67060,67001,67080,67048,67072,67017,67066,67100,67021,67037,67032,67006,67015,67057,67073,67005,67070,67030",2.000000,"1,3",0,0,0,27,0,0.000000,"0,0",4.000000,"2,6",0.000000,"0,0",1.000000,"1,1",0.000000,"0,0",5832,3.500000,28.000000,"28,28",3.500000,"2.000000,5.000000",1.500000,"1,2",679,0.000000,"0,0"
680,68003,1,1,67050.217391,"67011,67090,67038,67075,67060,67097,67018,67055,67066,67072,67035,67014,67065,67028,67061,67031,67068,67050,67087,67025,67081,67082,67003,67045,67059,67076,67064,67027,67071,67034,67054,67017,67006,67032,67015,67100,67021,67073,67048,67030,67067,67026,67098,67019,67053,67039,67040,67077,67057,67037,67074,67049,67069,67052,67089,67010,67042,67033,67070,67041,67086,67007,67016,67095,67001,67080,67046,67088,67020",1.500000,"1,2",2,0,0,27,0,0.000000,"0,0",0.000000,"0,0",10.500000,"4,17",0.000000,"0,0",4.500000,"3,6",6136,9.500000,17.000000,"33,1",9.500000,"4.000000,15.000000",5.500000,"3,8",679,0.000000,"0,0"
680,68004,6,1,67049.671429,"67004,67045,67076,67037,67039,67062,67014,67071,67034,67064,67027,67032,67069,67046,67050,67087,67041,67006,67053,67090,67011,67048,67073,67017,67019,67098,67025,67081,67007,67086,67070,67033,67075,67038,67035,67072,67052,67049,67082,67003,67068,67031,67065,67028,67066,67100,67021,67074,67040,67077,67042,67059,67055,67010,67089,67061,67016,67095,67020,67060,67018,67097,67080,67001,67067,67030,67057,67015,67026,67088",1.500000,"1,2",0,0,0,22,0,0.000000,"0,0",15.500000,"16,15",0.500000,"1,0",0.000000,"0,0",6.500000,"8,5",5010,13.500000,2.500000,"2,3",13.500000,"12.000000,15.000000",9.000000,"13,5",679,0.000000,"0,0"
680,68005,4,1,67049.736111,"67020,67074,67010,67089,67067,67030,67081,67095,67016,67053,67038,67075,67004,67083,67041,67014,67088,67065,67028,67049,67073,67057,67039,67025,67037,67017,67054,67026,67077,67068,67071,67034,67070,67033,67055,67046,67090,67011,67019,67098,67061,67015,67052,67031,67069,67032,67006,67080,67001,67050,67087,67059,67042,67027,67048,67040,67072,67035,67018,67097,67060,67100,67021,67066,67007,67086,67076,67045,67029,67064,67082,67003",1.000000,"1,1",0,0,0,27,0,0.000000,"0,0",0.000000,"0,0",13.500000,"18,9",0.000000,"0,0",7.500000,"9,6",6017,10.000000,1.500000,"1,2",10.000000,"15.000000,5.000000",11.000000,"12,10",679,0.000000,"0,0"
680,68006,5,1,67050.400000,"67037,67050,67059,67014,67088,67071,67065,67028,67038,67075,67077,67040,67074,67049,67086,67007,67081,67064,67042,67046,67052,67015,67020,67057,67006,67019,67098,67053,67090,67011,67026,67041,67004,67025,67032,67069,67061,67087,67027,67033,67067,67068,67016,67095,67089,67010,67055,67018,67097,67060,67001,67080,67048,67072,67017,67066,67021,67100,67082,67054,67034,67035,67073,67031,67062,67045,67076,67039,67030,67070",0.500000,"1,0",0,0,0,19,0,11.500000,"12,11",0.000000,"0,0",0.500000,"1,0",8.500000,"6,11",0.000000,"0,0",5445,12.000000,2.500000,"4,1",12.000000,"9.000000,15.000000",8.500000,"10,7",679,0.000000,"0,0"
680,68098,3,1,67049.732394,"67018,67097,67060,67050,67087,67059,67057,67040,67027,67064,67071,67034,67053,67070,67067,67030,67021,67100,67019,67098,67039,67006,67074,67037,67015,67089,67010,67062,67065,67028,67032,67069,67049,67086,67007,67031,67061,67026,67075,67080,67001,67038,67046,67088,67014,67052,67042,67003,67082,67048,67055,67066,67017,67068,67073,67004,67041,67072,67035,67081,67016,67095,67054,67033,67090,67011,67020,67045,67076,67025,67077",1.500000,"2,1",0,0,0,28,0,0.500000,"0,1",0.000000,"0,0",10.500000,"15,6",0.000000,"0,0",4.000000,"6,2",5343,8.500000,3.000000,"1,5",8.500000,"12.000000,5.000000",6.500000,"9,4",679,0.000000,"0,0"
680,68008,4,1,67049.557143,"67054,67057,67006,67080,67001,67046,67059,67065,67028,67015,67052,67007,67086,67049,67011,67090,67064,67071,67034,67017,67055,67004,67073,67070,67074,67030,67003,67082,67045,67039,67076,67040,67077,67026,67100,67021,67095,67016,67053,67020,67067,67050,67087,67033,67068,67031,67061,67066,67038,67075,67088,67014,67032,67069,67018,67097,67060,67098,67019,67048,67042,67041,67081,67072,67035,67089,67010,67025,67027,67037",1.000000,"1,1",0,0,0,23,0,9.500000,"9,10",0.500000,"0,1",0.000000,"0,0",11.000000,"8,14",0.000000,"0,0",5437,12.000000,3.500000,"4,3",12.000000,"10.000000,14.000000",9.000000,"7,11",679,0.000000,"0,0"
680,68009,2,1,67048.929577,"67054,67025,67069,67060,67046,67006,67050,67087,67064,67027,67059,67031,67082,67003,67028,67065,67098,67019,67081,67007,67086,67037,67088,67014,67041,67071,67034,67017,67033,67070,67073,67075,67038,67035,67072,67015,67052,67089,67010,67032,67097,67018,67055,67080,67001,67100,67021,67026,67066,67049,67020,67057,67042,67030,67061,67074,67040,67077,67053,67016,67095,67090,67011,67048,67068,67004,67045,67076,67067,67039,67005",1.000000,"1,1",0,0,0,32,0,0.000000,"0,0",7.500000,"2,13",0.000000,"0,0",7.500000,"3,12",0.000000,"0,0",5200,6.000000,17.500000,"34,1",6.000000,"2.000000,10.000000",9.000000,"3,15",679,0.000000,"0,0"
680,68097,2,1,67049.557143,"67004,67011,67090,67038,67075,67060,67097,67018,67055,67066,67072,67035,67014,67065,67028,67061,67031,67068,67050,67087,67025,67081,67082,67003,67045,67059,67076,67064,67027,67071,67034,67054,67017,67006,67032,67015,67100,67021,67073,67048,67030,67067,67026,67098,67019,67053,67039,67040,67077,67057,67037,67074,67049,67069,67052,67089,67010,67042,67033,67070,67041,67086,67007,67016,67095,67001,67080,67046,67088,67020",1.000000,"1,1",0,0,0,24,0,0.000000,"0,0",0.000000,"0,0",14.000000,"15,13",0.000000,"0,0",11.000000,"10,12",4882,14.500000,3.000000,"1,5",14.500000,"17.000000,12.000000",10.500000,"8,13",679,0.000000,"0,0"
680,68011,4,1,67049.914286,"67050,67059,67014,67088,67071,67065,67028,67038,67075,67077,67040,67074,67049,67086,67007,67081,67064,67042,67046,67052,67015,67020,67057,67006,67019,67098,67053,67090,67011,67026,67041,67004,67025,67032,67069,67061,67087,67027,67033,67067,67068,67016,67095,67089,67010,67055,67018,67097,67060,67001,67080,67048,67072,67017,67066,67021,67100,67003,67082,67054,67034,67035,67073,67031,67062,67045,67076,67039,67030,67070",2.500000,"4,1",0,0,0,29,0,9.500000,"8,11",0.000000,"0,0",0.000000,"0,0",3.000000,"1,5",0.000000,"0,0",5468,8.500000,1.000000,"0,2",8.500000,"8.000000,9.000000",4.000000,"1,7",679,0.000000,"0,0"
680,68012,4,1,67050.231884,"67006,67032,67017,67054,67042,67041,67073,67066,67031,67068,67069,67055,67018,67097,67060,67080,67001,67087,67050,67045,67082,67088,67014,67076,67039,67037,67074,67020,67057,67025,67077,67075,67038,67072,67019,67098,67061,67007,67086,67033,67070,67067,67030,67059,67048,67065,67028,67026,67049,67100,67021,67040,67064,67011,67090,67053,67095,67016,67052,67015,67089,67010,67046,67034,67035,67004,67081,67071,67027",1.000000,"1,1",1,0,0,32,0,10.500000,"12,9",0.000000,"0,0",0.000000,"0,0",8.500000,"10,7",0.000000,"0,0",5890,12.000000,2.000000,"1,3",12.000000,"11.000000,13.000000",7.000000,"11,3",679,0.000000,"0,0"
680,68013,2,1,67049.557143,"67045,67076,67025,67034,67074,67037,67073,67089,67010,67015,67052,67055,67018,67097,67060,67050,67087,67011,67090,67046,67041,67007,67086,67067,67053,67016,67095,67017,67054,67064,67072,67035,67075,67038,67001,67080,67014,67006,67049,67061,67068,67033,67070,67030,67057,67020,67059,67042,67028,67065,67081,67069,67032,67048,67088,67040,67077,67066,67021,67100,67026,67027,67071,67098,67019,67004,67039,67003,67082,67031",1.500000,"2,1",0,0,0,32,0,8.500000,"16,1",0.000000,"0,0",0.000000,"0,0",4.500000,"7,2",0.000000,"0,0",5481,7.500000,18.500000,"1,36",7.500000,"13.000000,2.000000",5.500000,"10,1",679,0.000000,"0,0"
680,68014,4,1,67049.904110,"67054,67076,67045,67029,67018,67097,67060,67050,67087,67059,67057,67040,67027,67064,67071,67034,67053,67070,67067,67030,67021,67100,67019,67098,67039,67006,67074,67037,67015,67089,67010,67062,67065,67028,67032,67069,67049,67086,67007,67031,67061,67026,67075,67080,67001,67038,67046,67088,67014,67052,67042,67003,67082,67048,67055,67066,67017,67068,67073,67083,67004,67041,67072,67035,67081,67016,67095,67025,67090,67011,67033,67020,67077",1.500000,"2,1",0,0,0,25,0,10.500000,"8,13",0.000000,"0,0",0.500000,"0,1",7.000000,"3,11",0.000000,"0,0",5368,9.500000,7.000000,"8,6",9.500000,"7.000000,12.000000",8.500000,"4,13",679,0.000000,"0,0"
680,68015,1,1,67049.557143,"67054,67025,67050,67087,67071,67064,67027,67059,67031,67028,67065,67098,67019,67081,67007,67086,67010,67089,67015,67052,67073,67041,67004,67075,67038,67067,67072,67035,67003,67082,67045,67037,67014,67088,67039,67076,67033,67070,67017,67006,67046,67060,67069,67032,67097,67018,67055,67080,67001,67021,67100,67026,67066,67049,67020,67057,67042,67030,67061,67074,67040,67077,67053,67016,67095,67090,67011,67048,67068,67034",0.500000,"1,0",0,0,0,29,0,6.000000,"7,5",0.000000,"0,0",0.000000,"0,0",6.500000,"8,5",0.000000,"0,0",5158,7.000000,1.500000,"1,2",7.000000,"8.000000,6.000000",5.500000,"7,4",679,0.000000,"0,0"
680,68016,2,1,67050.176471,"67057,67006,67080,67001,67046,67059,67065,67028,67015,67052,67007,67086,67049,67011,67090,67064,67071,67034,67017,67055,67004,67073,67070,67074,67030,67082,67045,67039,67076,67040,67077,67026,67100,67021,67095,67016,67053,67020,67067,67050,67087,67033,67068,67031,67061,67066,67038,67075,67088,67014,67032,67069,67018,67097,67060,67098,67019,67048,67042,67041,67081,67072,67035,67089,67010,67025,67027,67037",1.500000,"2,1",0,0,0,23,0,0.000000,"0,0",0.000000,"0,0",7.000000,"13,1",0.000000,"0,0",3.000000,"4,2",5624,6.500000,2.000000,"4,0",6.500000,"12.000000,1.000000",3.500000,"5,2",679,0.000000,"0,0"
680,68096,3,1,67049.492754,"67025,67087,67050,67072,67035,67027,67064,67059,67026,67069,67077,67040,67075,67038,67090,67011,67073,67033,67070,67020,67071,67074,67037,67089,67010,67052,67015,67066,67080,67001,67018,67097,67060,67017,67041,67045,67039,67076,67048,67088,67014,67082,67003,67004,67100,67021,67030,67067,67081,67049,67007,67086,67061,67095,67016,67053,67046,67055,67028,67065,67042,67031,67068,67098,67019,67057,67034,67006,67032",0.500000,"0,1",0,0,0,24,0,0.000000,"0,0",9.000000,"7,11",0.000000,"0,0",0.000000,"0,0",6.500000,"7,6",5451,6.000000,1.000000,"1,1",6.000000,"4.000000,8.000000",9.500000,"10,9",679,0.000000,"0,0"
680,68018,3,1,67049.732394,"67062,67004,67020,67088,67014,67087,67050,67066,67015,67052,67089,67010,67038,67075,67081,67019,67098,67061,67070,67033,67049,67032,67100,67021,67076,67067,67090,67011,67053,67016,67095,67073,67045,67031,67041,67017,67054,67034,67006,67064,67057,67026,67059,67074,67028,67065,67068,67055,67007,67086,67069,67048,67072,67042,67003,67082,67077,67040,67071,67080,67001,67060,67018,67097,67030,67035,67027,67037,67039,67046,67025",3.500000,"4,3",1,1,0,21,0,0.000000,"0,0",19.500000,"22,17",0.000000,"0,0",0.000000,"0,0",4.000000,"4,4",5648,17.000000,4.000000,"3,5",17.000000,"19.000000,15.000000",6.500000,"7,6",679,0.000000,"0,0"
680,68019,1,1,67049.914286,"67062,67069,67060,67046,67006,67050,67087,67071,67064,67027,67059,67031,67082,67003,67028,67065,67098,67019,67081,67007,67086,67014,67088,67039,67073,67041,67004,67075,67038,67035,67072,67015,67052,67089,67010,67033,67070,67017,67032,67097,67018,67055,67080,67001,67021,67100,67026,67066,67049,67020,67057,67042,67030,67061,67074,67040,67077,67053,67016,67095,67090,67011,67048,67068,67034,67067,67054,67076,67045,67025",0.000000,"0,0",0,0,0,27,0,5.000000,"4,6",0.000000,"0,0",0.500000,"0,1",5.500000,"4,7",0.500000,"1,0",5355,4.000000,4.000000,"3,5",4.000000,"4.000000,4.000000",7.500000,"5,10",679,0.000000,"0,0"
680,68095,4,1,67049.111111,"67062,67020,67090,67011,67050,67059,67014,67088,67065,67028,67038,67075,67077,67040,67074,67052,67049,67086,67007,67053,67081,67064,67042,67046,67071,67034,67054,67031,67019,67098,67026,67035,67069,67082,67003,67045,67039,67076,67025,67041,67004,67061,67087,67027,67033,67067,67068,67016,67095,67010,67089,67055,67018,67097,67060,67001,67080,67048,67072,67017,67066,67100,67021,67037,67032,67006,67015,67057,67073,67005,67070,67030",0.500000,"0,1",0,0,0,25,0,0.000000,"0,0",7.000000,"0,14",0.000000,"0,0",4.500000,"0,9",0.000000,"0,0",5671,8.000000,1.000000,"0,2",8.000000,"0.000000,16.000000",3.500000,"0,7",679,0.000000,"0,0"
680,68021,3,1,67048.197183,"67034,67057,67025,67095,67016,67010,67089,67033,67070,67042,67005,67073,67002,67081,67055,67067,67017,67077,67003,67082,67040,67035,67072,67020,67088,67053,67090,67011,67059,67039,67076,67045,67049,67032,67026,67027,67004,67038,67075,67046,67006,67068,67097,67018,67060,67074,67071,67048,67001,67080,67061,67098,67019,67064,67041,67014,67028,67065,67021,67100,67066,67087,67050,67007,67086,67052,67030,67037,67015,67031,67069",1.000000,"1,1",0,0,0,29,0,11.500000,"13,10",0.000000,"0,0",0.000000,"0,0",9.500000,"10,9",0.000000,"0,0",5010,10.000000,9.000000,"9,9",10.000000,"10.000000,10.000000",11.000000,"13,9",679,0.000000,"0,0"
680,68022,1,1,67049.557143,"67004,67017,67054,67042,67041,67073,67066,67031,67068,67069,67055,67018,67097,67060,67080,67001,67087,67050,67045,67003,67082,67088,67014,67076,67039,67037,67074,67020,67057,67025,67077,67075,67038,67072,67019,67098,67061,67007,67086,67033,67070,67067,67030,67059,67048,67065,67028,67026,67049,67100,67021,67040,67064,67011,67090,67053,67095,67016,67052,67015,67089,67010,67046,67035,67034,67006,67081,67032,67027,67071",2.500000,"2,3",0,0,0,30,0,0.000000,"0,0",14.000000,"16,12",0.000000,"0,0",5.000000,"7,3",0.000000,"0,0",5972,13.500000,2.500000,"3,2",13.500000,"18.000000,9.000000",5.500000,"5,6",679,0.000000,"0,0"
680,68023,4,1,67049.557143,"67054,67025,67087,67050,67072,67035,67027,67064,67059,67026,67069,67077,67040,67075,67038,67090,67011,67073,67033,67070,67020,67071,67074,67037,67089,67010,67052,67015,67066,67080,67001,67018,67097,67060,67017,67041,67045,67039,67076,67048,67088,67014,67082,67003,67004,67100,67021,67030,67067,67081,67049,67007,67086,67061,67095,67016,67053,67046,67055,67028,67065,67042,67031,67068,67098,67019,67057,67034,67006,67032",0.500000,"1,0",0,0,0,30,0,7.000000,"7,7",0.000000,"0,0",0.500000,"0,1",5.500000,"3,8",0.000000,"0,0",5401,8.000000,4.500000,"2,7",8.000000,"7.000000,9.000000",5.000000,"3,7",679,0.000000,"0,0"
680,68094,2,1,67049.111111,"67032,67037,67006,67019,67098,67069,67035,67072,67066,67049,67046,67045,67082,67003,67028,67065,67020,67060,67097,67018,67075,67038,67001,67080,67031,67048,67059,67027,67081,67067,67033,67052,67015,67089,67010,67055,67004,67071,67034,67074,67011,67090,67087,67050,67053,67064,67016,67095,67061,67040,67077,67086,67007,67041,67042,67039,67076,67021,67100,67026,67068,67017,67054,67014,67088,67005,67070,67025,67062,67073,67057,67030",1.000000,"1,1",0,0,0,23,0,7.500000,"11,4",0.000000,"0,0",0.500000,"0,1",5.000000,"8,2",0.000000,"0,0",5176,5.500000,6.000000,"4,8",5.500000,"8.000000,3.000000",7.500000,"11,4",679,0.000000,"0,0"
680,68025,4,1,67049.913043,"67034,67054,67050,67087,67071,67064,67027,67059,67031,67028,67065,67098,67019,67081,67007,67086,67010,67089,67015,67052,67073,67041,67004,67075,67038,67067,67072,67035,67082,67003,67045,67037,67014,67088,67039,67076,67033,67070,67017,67006,67046,67060,67069,67032,67097,67018,67055,67080,67001,67021,67100,67026,67066,67049,67020,67057,67042,67030,67061,67074,67040,67077,67053,67016,67095,67090,67011,67048,67068",1.500000,"1,2",0,0,0,30,0,7.500000,"11,4",0.000000,"0,0",0.000000,"0,0",8.500000,"7,10",0.000000,"0,0",5217,9.500000,0.000000,"0,0",9.500000,"10.000000,9.000000",6.500000,"8,5",679,0.000000,"0,0"
680,68026,1,1,67050.159420,"67054,67005,67018,67097,67069,67066,67049,67010,67089,67042,67060,67040,67077,67027,67001,67080,67059,67048,67011,67090,67062,67045,67031,67073,67017,67053,67019,67098,67070,67030,67020,67057,67021,67100,67026,67039,67076,67052,67015,67055,67075,67038,67088,67014,67004,67041,67074,67067,67033,67086,67007,67095,67016,67072,67035,67065,67028,67061,67068,67050,67087,67025,67064,67081,67071,67034,67046,67003,67082",1.500000,"2,1",0,0,0,28,0,0.000000,"0,0",0.000000,"0,0",7.500000,"2,13",0.000000,"0,0",10.000000,"8,12",5086,11.500000,3.000000,"1,5",11.500000,"8.000000,15.000000",6.000000,"2,10",679,0.000000,"0,0"
680,68027,2,1,67050.231884,"67032,67006,67017,67054,67042,67041,67073,67066,67031,67068,67069,67055,67018,67097,67060,67080,67001,67087,67050,67045,67082,67088,67014,67076,67039,67037,67074,67020,67057,67025,67077,67075,67038,67072,67019,67098,67061,67007,67086,67033,67070,67067,67030,67059,67048,67065,67028,67026,67049,67100,67021,67040,67064,67011,67090,67053,67095,67016,67052,67015,67089,67010,67046,67034,67035,67004,67081,67071,67027",2.500000,"1,4",0,0,0,28,0,0.000000,"0,0",0.000000,"0,0",11.500000,"5,18",0.000000,"0,0",2.500000,"2,3",5380,10.000000,3.000000,"2,4",10.000000,"3.000000,17.000000",4.000000,"4,4",679,0.000000,"0,0"
680,68093,6,1,67049.557143,"67088,67014,67087,67050,67066,67015,67052,67089,67010,67038,67075,67081,67019,67098,67061,67070,67033,67017,67054,67046,67067,67090,67011,67053,67016,67095,67041,67034,67073,67049,67100,67021,67039,67076,67025,67045,67064,67020,67057,67026,67059,67074,67028,67065,67068,67055,67007,67086,67069,67048,67072,67042,67082,67003,67077,67040,67071,67080,67001,67060,67018,67097,67030,67006,67032,67027,67037,67004,67035,67031",16.000000,"19,13",0,0,0,22,0,0.000000,"0,0",16.000000,"19,13",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",4875,16.000000,0.000000,"0,0",16.000000,"19.000000,13.000000",0.000000,"0,0",679,0.000000,"0,0"
680,68092,2,1,67047.944444,"67003,67029,67038,67075,67027,67064,67048,67053,67090,67011,67026,67020,67014,67088,67060,67097,67018,67066,67071,67035,67072,67045,67028,67065,67055,67076,67032,67069,67086,67007,67081,67002,67040,67006,67050,67087,67061,67031,67068,67046,67010,67089,67015,67052,67017,67034,67067,67030,67059,67001,67080,67037,67041,67042,67070,67098,67019,67073,67039,67016,67095,67100,67021,67049,67005,67025,67083,67004,67077,67074,67057,67033",3.500000,"6,1",0,0,0,24,0,0.500000,"0,1",0.000000,"0,0",12.500000,"13,12",0.000000,"0,0",3.000000,"1,5",5321,10.500000,3.500000,"1,6",10.500000,"12.000000,9.000000",5.500000,"2,9",679,0.000000,"0,0"
