ID,Simple_numOffspring,alive,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST,snapshotAncestors_LIST,update
2001,1,1,1.000000,"1,1",1,2,0,504,0,1.500000,"3,0",0.500000,"1,0",0.500000,"1,0",0.000000,"0,0",0.500000,"0,1",4443,1.500000,0.000000,"0,0",1.500000,"2.000000,1.000000",1.500000,"3,0",19,0.000000,"0,0","1091",20
2002,1,1,1.000000,"1,1",5,3,0,567,0,0.500000,"1,0",1.500000,"0,3",0.500000,"0,1",0.500000,"0,1",0.000000,"0,0",5787,2.000000,0.500000,"1,0",2.000000,"1.000000,3.000000",1.000000,"0,2",19,0.000000,"0,0","1031",20
2003,0,1,0.500000,"0,1",1,0,0,522,0,0.500000,"0,1",0.500000,"1,0",0.500000,"1,0",0.000000,"0,0",0.000000,"0,0",5143,1.000000,0.500000,"0,1",1.000000,"1.000000,1.000000",0.500000,"1,0",19,0.000000,"0,0","1035",20
2004,0,1,0.500000,"1,0",4,1,0,580,0,0.000000,"0,0",1.000000,"0,2",1.500000,"1,2",0.500000,"0,1",0.500000,"0,1",6056,1.000000,1.000000,"1,1",1.000000,"1.000000,1.000000",2.500000,"0,5",19,0.000000,"0,0","1004",20
2005,0,1,1.000000,"1,1",2,0,0,562,0,1.000000,"1,1",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5623,1.000000,0.500000,"0,1",1.000000,"1.000000,1.000000",0.000000,"0,0",19,0.000000,"0,0","1023",20
2006,1,1,0.500000,"0,1",5,3,0,577,0,0.000000,"0,0",0.500000,"0,1",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5787,0.500000,0.000000,"0,0",0.500000,"0.000000,1.000000",0.000000,"0,0",19,0.000000,"0,0","1031",20
2007,0,1,0.500000,"1,0",3,1,0,546,0,0.500000,"0,1",0.500000,"0,1",0.500000,"0,1",0.500000,"0,1",0.500000,"1,0",5730,1.000000,1.500000,"2,1",1.000000,"1.000000,1.000000",1.500000,"0,3",19,0.000000,"0,0","1061",20
2008,0,1,1.000000,"1,1",4,1,0,566,0,2.000000,"3,1",0.500000,"1,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5924,2.000000,1.000000,"2,0",2.000000,"3.000000,1.000000",0.500000,"1,0",19,0.000000,"0,0","1062",20
2009,1,1,0.500000,"0,1",2,0,0,569,0,1.500000,"2,1",0.000000,"0,0",0.000000,"0,0",1.000000,"2,0",0.500000,"1,0",5623,2.000000,0.500000,"0,1",2.000000,"3.000000,1.000000",1.000000,"2,0",19,0.000000,"0,0","1023",20
2010,1,1,1.000000,"1,1",0,5,0,451,0,0.500000,"1,0",0.500000,"0,1",0.000000,"0,0",0.000000,"0,0",1.000000,"2,0",3303,1.500000,3.000000,"5,1",1.500000,"2.000000,1.000000",0.500000,"1,0",19,0.000000,"0,0","1048",20
