ID,Simple_numOffspring,alive,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST,snapshotAncestors_LIST,update
98001,1,1,9.000000,"10,8",66,70,0,15673,0,0.000000,"0,0",0.000000,"0,0",9.000000,"10,8",0.000000,"0,0",0.000000,"0,0",2604,9.000000,18.000000,"32,4",9.000000,"10.000000,8.000000",0.000000,"0,0",979,0.000000,"0,0","97019",980
98002,0,1,4.000000,"6,2",87,80,0,21229,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",4.000000,"6,2",0.000000,"0,0",6197,4.000000,6.000000,"10,2",4.000000,"6.000000,2.000000",0.000000,"0,0",979,0.000000,"0,0","97007",980
98003,1,1,2.500000,"4,1",65,71,0,15683,0,0.000000,"0,0",0.000000,"0,0",2.500000,"4,1",0.000000,"0,0",0.000000,"0,0",2111,2.500000,44.000000,"0,88",2.500000,"4.000000,1.000000",0.000000,"0,0",979,0.000000,"0,0","97070",980
98004,1,1,0.000000,"0,0",49,55,0,14708,0,3.500000,"4,3",5.500000,"4,7",3.000000,"2,4",0.000000,"0,0",6.500000,"8,5",2895,7.500000,9.500000,"8,11",7.500000,"7.000000,8.000000",11.000000,"11,11",979,6.000000,"8,4","97015",980
98005,0,1,3.000000,"2,4",67,69,0,15715,0,0.000000,"0,0",0.000000,"0,0",3.000000,"2,4",0.000000,"0,0",0.000000,"0,0",3940,3.000000,2.000000,"2,2",3.000000,"2.000000,4.000000",0.000000,"0,0",979,0.000000,"0,0","97073",980
98006,1,1,3.500000,"6,1",87,80,0,21239,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",3.500000,"6,1",0.000000,"0,0",6197,3.500000,1.000000,"1,1",3.500000,"6.000000,1.000000",0.000000,"0,0",979,0.000000,"0,0","97007",980
98007,4,1,11.000000,"10,12",67,69,0,15717,0,0.000000,"0,0",0.000000,"0,0",11.000000,"10,12",0.000000,"0,0",0.000000,"0,0",3819,11.000000,3.000000,"0,6",11.000000,"10.000000,12.000000",0.000000,"0,0",979,0.000000,"0,0","97073",980
98008,1,1,2.500000,"0,5",89,79,0,21270,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",2.500000,"0,5",0.000000,"0,0",7203,2.500000,28.000000,"0,56",2.500000,"0.000000,5.000000",0.000000,"0,0",979,0.000000,"0,0","97007",980
98009,0,1,0.500000,"0,1",52,56,0,14895,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.500000,"0,1",3672,0.500000,49.000000,"98,0",0.500000,"0.000000,1.000000",0.000000,"0,0",979,0.000000,"0,0","97038",980
98010,0,1,0.000000,"0,0",52,56,0,14890,0,5.500000,"7,4",2.500000,"4,1",1.500000,"3,0",0.000000,"0,0",3.000000,"2,4",3742,3.000000,10.000000,"8,12",3.000000,"2.000000,4.000000",9.500000,"14,5",979,7.000000,"7,7","97038",980
98011,1,1,5.000000,"5,5",67,69,0,15713,0,0.000000,"0,0",0.000000,"0,0",5.000000,"5,5",0.000000,"0,0",0.000000,"0,0",3819,5.000000,33.000000,"63,3",5.000000,"5.000000,5.000000",0.000000,"0,0",979,0.000000,"0,0","97073",980
