ID,Simple_numOffspring,alive,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST,snapshotAncestors_LIST,update
48001,0,1,5.500000,"4,7",35,41,0,8520,0,0.000000,"0,0",0.000000,"0,0",5.500000,"4,7",0.000000,"0,0",0.000000,"0,0",2413,5.500000,2.000000,"4,0",5.500000,"4.000000,7.000000",0.000000,"0,0",479,0.000000,"0,0","47077",480
48002,0,1,0.000000,"0,0",28,37,0,8421,0,6.000000,"4,8",5.000000,"6,4",2.500000,"3,2",0.000000,"0,0",7.000000,"5,9",2307,6.000000,9.500000,"10,9",6.000000,"4.000000,8.000000",14.500000,"14,15",479,1.500000,"3,0","47007",480
48003,1,1,0.000000,"0,0",28,37,0,8467,0,5.500000,"7,4",7.500000,"8,7",3.000000,"1,5",0.000000,"0,0",7.500000,"10,5",2512,5.000000,6.000000,"6,6",5.000000,"4.000000,6.000000",18.500000,"22,15",479,3.500000,"1,6","47073",480
48004,2,1,0.000000,"0,0",27,36,0,8468,0,4.500000,"5,4",5.500000,"4,7",3.500000,"2,5",3.000000,"4,2",4.500000,"5,4",2507,4.500000,9.000000,"8,10",4.500000,"5.000000,4.000000",16.500000,"15,18",479,1.500000,"3,0","47023",480
48005,4,1,17.000000,"15,19",23,31,0,7033,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",17.000000,"15,19",0.000000,"0,0",2479,17.000000,7.000000,"3,11",17.000000,"15.000000,19.000000",0.000000,"0,0",479,1.000000,"0,2","47001",480
48006,0,1,0.000000,"0,0",29,39,0,8475,0,6.000000,"7,5",3.500000,"1,6",3.500000,"4,3",0.000000,"0,0",8.000000,"8,8",2204,7.500000,12.500000,"14,11",7.500000,"7.000000,8.000000",13.500000,"13,14",479,0.000000,"0,0","47041",480
48007,1,1,0.000000,"0,0",29,39,0,8477,0,4.500000,"4,5",5.000000,"5,5",2.500000,"4,1",0.000000,"0,0",4.000000,"5,3",2078,6.500000,12.000000,"11,13",6.500000,"8.000000,5.000000",9.500000,"10,9",479,4.000000,"4,4","47098",480
48008,0,1,5.000000,"9,1",23,32,0,6995,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5.000000,"9,1",0.000000,"0,0",2210,5.000000,5.000000,"10,0",5.000000,"9.000000,1.000000",0.000000,"0,0",479,0.000000,"0,0","47082",480
48009,3,1,0.500000,"0,1",27,37,0,8432,0,8.000000,"8,8",5.000000,"9,1",0.000000,"0,0",0.000000,"0,0",7.000000,"10,4",2029,6.500000,6.000000,"3,9",6.500000,"6.000000,7.000000",13.500000,"21,6",479,7.500000,"3,12","47007",480
48010,0,1,2.000000,"4,0",36,40,0,8521,0,0.000000,"0,0",0.000000,"0,0",5.000000,"9,1",1.000000,"1,1",0.000000,"0,0",3051,5.000000,31.000000,"0,62",5.000000,"9.000000,1.000000",1.000000,"1,1",479,0.000000,"0,0","47068",480
