ID,Simple_numOffspring,alive,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST,snapshotAncestors_LIST,update
12001,1,1,0.000000,"0,0",12,10,0,2852,0,5.000000,"5,5",3.500000,"5,2",2.500000,"3,2",3.000000,"3,3",4.000000,"3,5",5861,3.000000,7.500000,"4,11",3.000000,"3.000000,3.000000",15.000000,"16,14",119,2.000000,"0,4","11057",120
12002,1,1,2.500000,"3,2",8,11,0,2566,0,0.000000,"0,0",3.500000,"7,0",1.500000,"1,2",0.000000,"0,0",0.000000,"0,0",3759,4.500000,0.500000,"0,1",4.500000,"7.000000,2.000000",0.500000,"1,0",119,0.000000,"0,0","11062",120
12003,0,1,1.000000,"1,1",7,13,0,2629,0,0.000000,"0,0",0.000000,"0,0",1.000000,"2,0",2.000000,"4,0",0.500000,"0,1",3330,2.500000,1.000000,"1,1",2.500000,"4.000000,1.000000",1.000000,"2,0",119,0.000000,"0,0","11008",120
12004,2,1,0.000000,"0,0",9,11,0,2815,0,4.500000,"6,3",3.500000,"5,2",2.000000,"2,2",2.500000,"1,4",5.000000,"3,7",4650,6.000000,10.500000,"13,8",6.000000,"6.000000,6.000000",11.500000,"11,12",119,1.500000,"3,0","11078",120
12005,1,1,0.000000,"0,0",12,10,0,2853,0,6.500000,"7,6",3.500000,"0,7",3.500000,"2,5",1.500000,"1,2",2.500000,"4,1",5861,2.500000,8.500000,"12,5",2.500000,"3.000000,2.000000",15.000000,"11,19",119,7.000000,"9,5","11057",120
12006,0,1,0.000000,"0,0",11,10,0,2840,0,2.500000,"1,4",1.000000,"1,1",3.000000,"1,5",2.000000,"2,2",4.000000,"4,4",5359,4.000000,6.000000,"7,5",4.000000,"3.000000,5.000000",8.500000,"6,11",119,9.500000,"13,6","11057",120
12007,1,1,0.500000,"0,1",9,12,0,2606,0,0.000000,"0,0",5.000000,"3,7",2.500000,"2,3",0.000000,"0,0",1.000000,"1,1",3901,5.000000,2.500000,"3,2",5.000000,"3.000000,7.000000",3.500000,"3,4",119,0.000000,"0,0","11062",120
12008,1,1,0.000000,"0,0",11,10,0,2838,0,4.000000,"3,5",5.000000,"7,3",4.000000,"5,3",5.000000,"4,6",2.000000,"1,3",5359,4.000000,9.500000,"9,10",4.000000,"5.000000,3.000000",16.000000,"15,17",119,0.000000,"0,0","11057",120
12009,2,1,0.500000,"1,0",8,12,0,2584,0,0.000000,"0,0",4.000000,"5,3",5.000000,"7,3",0.000000,"0,0",0.000000,"0,0",3378,4.000000,1.000000,"2,0",4.000000,"5.000000,3.000000",5.000000,"7,3",119,0.000000,"0,0","11062",120
12010,0,1,7.000000,"12,2",7,13,0,2676,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",7.000000,"12,2",0.000000,"0,0",3385,7.000000,6.000000,"10,2",7.000000,"12.000000,2.000000",0.000000,"0,0",119,0.000000,"0,0","11018",120
12011,0,1,0.000000,"0,0",8,11,0,2809,0,3.500000,"2,5",3.000000,"4,2",2.500000,"3,2",2.000000,"0,4",4.000000,"3,5",4374,3.500000,8.500000,"6,11",3.500000,"3.000000,4.000000",11.500000,"9,14",119,4.500000,"5,4","11078",120
12012,0,1,0.000000,"0,0",8,10,0,2802,0,4.500000,"4,5",1.000000,"1,1",2.500000,"1,4",3.000000,"3,3",1.000000,"1,1",4675,3.500000,9.000000,"13,5",3.500000,"3.000000,4.000000",8.500000,"7,10",119,1.000000,"0,2","11078",120
12013,1,1,6.500000,"6,7",9,11,0,2596,0,0.000000,"0,0",0.000000,"0,0",6.500000,"6,7",0.000000,"0,0",0.000000,"0,0",4140,6.500000,10.000000,"17,3",6.500000,"6.000000,7.000000",0.000000,"0,0",119,0.000000,"0,0","11062",120
12014,0,1,1.500000,"3,0",8,13,0,2643,0,0.000000,"0,0",0.500000,"0,1",5.500000,"6,5",2.500000,"1,4",0.000000,"0,0",3822,4.500000,2.000000,"2,2",4.500000,"5.000000,4.000000",4.000000,"2,6",119,0.000000,"0,0","11008",120
12015,0,1,0.000000,"0,0",7,11,0,2778,0,2.000000,"1,3",1.500000,"1,2",1.500000,"2,1",5.000000,"3,7",3.000000,"3,3",3735,4.500000,10.000000,"10,10",4.500000,"1.000000,8.000000",8.500000,"9,8",119,3.000000,"0,6","11006",120
12016,0,1,1.000000,"1,1",7,12,0,2598,0,0.000000,"0,0",0.000000,"0,0",3.500000,"5,2",6.500000,"8,5",0.000000,"0,0",3217,6.500000,0.500000,"0,1",6.500000,"7.000000,6.000000",3.500000,"6,1",119,0.000000,"0,0","11003",120
12017,0,1,0.500000,"0,1",7,12,0,2592,0,0.000000,"0,0",0.000000,"0,0",4.500000,"5,4",5.000000,"5,5",0.000000,"0,0",3217,5.500000,0.000000,"0,0",5.500000,"5.000000,6.000000",4.000000,"5,3",119,0.000000,"0,0","11003",120
12018,1,1,0.000000,"0,0",11,10,0,2860,0,4.000000,"4,4",1.500000,"0,3",2.000000,"3,1",5.000000,"7,3",4.000000,"4,4",5359,4.000000,11.500000,"11,12",4.000000,"6.000000,2.000000",12.500000,"12,13",119,1.500000,"0,3","11057",120
12019,0,1,0.500000,"1,0",6,10,0,2687,0,0.000000,"0,0",0.000000,"0,0",2.500000,"3,2",4.500000,"7,2",0.000000,"0,0",3679,4.000000,2.000000,"3,1",4.000000,"7.000000,1.000000",3.000000,"3,3",119,0.000000,"0,0","11016",120
12020,0,1,0.500000,"0,1",10,11,0,2817,0,4.500000,"8,1",2.500000,"4,1",1.500000,"2,1",1.000000,"1,1",5.000000,"5,5",5102,4.000000,7.500000,"5,10",4.000000,"5.000000,3.000000",10.500000,"15,6",119,2.500000,"0,5","11078",120
12021,1,1,1.000000,"1,1",8,12,0,2594,0,0.000000,"0,0",6.500000,"7,6",4.000000,"4,4",0.000000,"0,0",0.000000,"0,0",3356,8.500000,2.000000,"3,1",8.500000,"8.000000,9.000000",2.000000,"3,1",119,0.000000,"0,0","11062",120
12022,0,1,2.000000,"3,1",8,14,0,2574,0,0.000000,"0,0",3.000000,"3,3",0.500000,"0,1",0.000000,"0,0",0.000000,"0,0",2769,2.500000,0.000000,"0,0",2.500000,"3.000000,2.000000",1.000000,"0,2",119,0.000000,"0,0","11062",120
12023,1,1,0.500000,"0,1",9,11,0,2599,0,0.000000,"0,0",5.500000,"4,7",4.000000,"4,4",0.000000,"0,0",0.000000,"0,0",4202,4.000000,1.000000,"1,1",4.000000,"5.000000,3.000000",5.500000,"3,8",119,0.000000,"0,0","11062",120
12024,0,1,0.000000,"0,0",7,11,0,2768,0,0.500000,"0,1",2.000000,"2,2",2.000000,"0,4",4.000000,"4,4",3.000000,"3,3",3755,3.000000,8.000000,"10,6",3.000000,"2.000000,4.000000",8.500000,"7,10",119,3.500000,"6,1","11006",120
12025,3,1,0.000000,"0,0",7,11,0,2778,0,6.000000,"8,4",1.500000,"1,2",2.500000,"3,2",4.500000,"6,3",3.000000,"3,3",3735,3.000000,6.000000,"5,7",3.000000,"3.000000,3.000000",14.500000,"18,11",119,4.500000,"5,4","11006",120
