ID,Simple_numOffspring,alive,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST,snapshotAncestors_LIST,update
92001,1,1,3.500000,"7,0",60,66,0,14627,0,0.000000,"0,0",0.000000,"0,0",3.500000,"7,0",0.000000,"0,0",0.000000,"0,0",2216,3.500000,69.500000,"42,97",3.500000,"7.000000,0.000000",0.000000,"0,0",919,0.000000,"0,0","91024",920
92002,0,1,1.500000,"1,2",82,74,0,18710,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",1.500000,"1,2",0.000000,"0,0",7328,1.500000,5.500000,"10,1",1.500000,"1.000000,2.000000",0.000000,"0,0",919,0.000000,"0,0","91075",920
92003,2,1,7.000000,"8,6",60,66,0,14624,0,0.000000,"0,0",0.000000,"0,0",7.000000,"8,6",0.000000,"0,0",0.000000,"0,0",2216,7.000000,9.000000,"11,7",7.000000,"8.000000,6.000000",0.000000,"0,0",919,0.000000,"0,0","91024",920
92004,2,1,0.500000,"1,0",48,50,0,14017,0,3.000000,"2,4",7.500000,"9,6",1.000000,"1,1",0.000000,"0,0",3.500000,"2,5",4119,6.000000,10.500000,"12,9",6.000000,"6.000000,6.000000",9.000000,"8,10",919,5.500000,"6,5","91098",920
92005,0,1,0.500000,"1,0",46,50,0,13909,0,4.000000,"4,4",6.000000,"9,3",2.500000,"3,2",0.500000,"0,1",4.000000,"1,7",3265,7.000000,16.000000,"16,16",7.000000,"8.000000,6.000000",10.000000,"9,11",919,0.000000,"0,0","91002",920
92006,0,1,5.000000,"6,4",83,71,0,18709,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5.000000,"6,4",0.000000,"0,0",8303,5.000000,6.500000,"9,4",5.000000,"6.000000,4.000000",0.000000,"0,0",919,1.500000,"1,2","91075",920
92007,1,1,6.500000,"9,4",84,70,0,18765,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",6.500000,"9,4",0.000000,"0,0",8295,6.500000,9.000000,"9,9",6.500000,"9.000000,4.000000",0.000000,"0,0",919,0.000000,"0,0","91025",920
92008,1,1,5.500000,"8,3",63,63,0,14721,0,0.000000,"0,0",0.000000,"0,0",5.500000,"8,3",0.000000,"0,0",0.000000,"0,0",4042,5.500000,23.000000,"43,3",5.500000,"8.000000,3.000000",0.000000,"0,0",919,0.000000,"0,0","91059",920
92009,1,1,8.500000,"11,6",85,70,0,18772,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",8.500000,"11,6",0.000000,"0,0",8459,8.500000,12.500000,"15,10",8.500000,"11.000000,6.000000",0.000000,"0,0",919,0.000000,"0,0","91025",920
92010,1,1,0.000000,"0,0",48,51,0,14020,0,3.000000,"5,1",4.000000,"6,2",3.000000,"2,4",0.000000,"0,0",4.500000,"5,4",3830,4.500000,11.500000,"9,14",4.500000,"5.000000,4.000000",10.000000,"13,7",919,4.000000,"3,5","91098",920
92011,1,1,5.500000,"6,5",84,70,0,18671,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5.500000,"6,5",0.000000,"0,0",8942,5.500000,6.000000,"3,9",5.500000,"6.000000,5.000000",0.000000,"0,0",919,0.000000,"0,0","91075",920
92012,1,1,0.000000,"0,0",46,50,0,13916,0,3.500000,"4,3",7.500000,"9,6",0.500000,"0,1",0.500000,"0,1",5.500000,"7,4",3249,8.500000,12.500000,"7,18",8.500000,"10.000000,7.000000",9.000000,"10,8",919,3.500000,"7,0","91002",920
92013,1,1,0.000000,"0,0",50,51,0,14010,0,5.500000,"6,5",4.000000,"4,4",4.000000,"4,4",0.000000,"0,0",4.000000,"5,3",3949,4.500000,13.500000,"12,15",4.500000,"3.000000,6.000000",13.000000,"16,10",919,1.000000,"0,2","91020",920
92014,1,1,8.500000,"11,6",59,65,0,14588,0,0.000000,"0,0",0.000000,"0,0",8.500000,"11,6",0.000000,"0,0",0.000000,"0,0",1955,8.500000,3.500000,"2,5",8.500000,"11.000000,6.000000",0.000000,"0,0",919,0.000000,"0,0","91022",920
92015,0,1,3.000000,"2,4",84,71,0,18680,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",3.000000,"2,4",0.000000,"0,0",8520,3.000000,4.000000,"4,4",3.000000,"2.000000,4.000000",0.000000,"0,0",919,0.000000,"0,0","91075",920
92016,0,1,0.000000,"0,0",49,51,0,14002,0,6.000000,"4,8",6.000000,"5,7",1.000000,"2,0",0.000000,"0,0",5.000000,"3,7",3647,5.500000,10.500000,"11,10",5.500000,"4.000000,7.000000",12.500000,"10,15",919,5.000000,"8,2","91020",920
92017,1,1,3.500000,"5,2",84,70,0,18677,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",3.500000,"5,2",0.000000,"0,0",8942,3.500000,5.500000,"4,7",3.500000,"5.000000,2.000000",0.000000,"0,0",919,5.000000,"0,10","91075",920
