ID,Simple_numOffspring,alive,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST,snapshotAncestors_LIST,update
19001,1,1,1.000000,"0,2",18,18,0,4186,0,0.000000,"0,0",1.000000,"1,1",2.500000,"1,4",0.000000,"0,0",0.000000,"0,0",5272,2.500000,2.000000,"1,3",2.500000,"1.000000,4.000000",1.000000,"1,1",189,0.000000,"0,0","18067",190
19002,1,1,7.000000,"13,1",15,15,0,4512,0,0.500000,"0,1",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",8.000000,"13,3",5060,8.000000,2.500000,"3,2",8.000000,"13.000000,3.000000",0.500000,"0,1",189,0.000000,"0,0","18023",190
19003,1,1,0.500000,"0,1",12,16,0,4074,0,0.500000,"1,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",1.000000,"1,1",3295,1.000000,35.500000,"39,32",1.000000,"1.000000,1.000000",0.500000,"1,0",189,27.000000,"0,54","18054",190
19004,1,1,0.000000,"0,0",12,17,0,4134,0,5.500000,"6,5",5.500000,"4,7",5.000000,"3,7",3.500000,"4,3",4.000000,"5,3",3241,7.500000,5.500000,"6,5",7.500000,"8.000000,7.000000",16.000000,"14,18",189,2.500000,"4,1","18017",190
19005,2,1,0.000000,"0,0",12,16,0,4061,0,4.500000,"6,3",4.000000,"1,7",5.000000,"6,4",1.500000,"2,1",4.500000,"6,3",3295,7.000000,7.000000,"10,4",7.000000,"7.000000,7.000000",12.500000,"14,11",189,1.500000,"0,3","18054",190
19006,1,1,0.000000,"0,0",12,18,0,3996,0,5.000000,"3,7",5.500000,"6,5",2.000000,"2,2",4.000000,"1,7",4.000000,"3,5",2440,3.000000,6.000000,"10,2",3.000000,"3.000000,3.000000",17.500000,"12,23",189,4.500000,"7,2","18022",190
19007,1,1,0.000000,"0,0",12,17,0,4131,0,4.500000,"2,7",3.500000,"4,3",4.000000,"6,2",3.500000,"5,2",4.000000,"3,5",3302,4.500000,10.500000,"9,12",4.500000,"5.000000,4.000000",15.000000,"15,15",189,1.500000,"3,0","18017",190
19008,0,1,1.500000,"1,2",16,19,0,4117,0,0.000000,"0,0",1.500000,"3,0",2.000000,"2,2",0.000000,"0,0",0.000000,"0,0",4466,2.500000,46.000000,"89,3",2.500000,"3.000000,2.000000",1.000000,"2,0",189,0.000000,"0,0","18035",190
19009,2,1,0.500000,"1,0",12,18,0,4002,0,4.500000,"3,6",6.000000,"9,3",3.000000,"3,3",1.000000,"0,2",4.000000,"2,6",2440,6.500000,12.000000,"12,12",6.500000,"7.000000,6.000000",12.000000,"10,14",189,1.000000,"2,0","18022",190
19010,0,1,1.000000,"1,1",18,20,0,4169,0,0.000000,"0,0",3.000000,"4,2",5.500000,"8,3",0.000000,"0,0",0.000000,"0,0",4596,3.500000,42.500000,"2,83",3.500000,"6.000000,1.000000",5.000000,"6,4",189,0.000000,"0,0","18067",190
19011,0,1,3.500000,"5,2",12,21,0,3783,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",3.500000,"5,2",0.000000,"0,0",1620,3.500000,3.500000,"7,0",3.500000,"5.000000,2.000000",0.000000,"0,0",189,0.000000,"0,0","18006",190
19012,0,1,1.500000,"1,2",18,20,0,4157,0,0.000000,"0,0",2.000000,"3,1",5.000000,"6,4",0.000000,"0,0",0.000000,"0,0",4596,4.000000,3.000000,"3,3",4.000000,"5.000000,3.000000",3.000000,"4,2",189,1.000000,"1,1","18067",190
19013,1,1,0.000000,"0,0",12,16,0,4134,0,3.000000,"5,1",7.500000,"7,8",2.500000,"1,4",1.500000,"0,3",4.000000,"5,3",3470,6.500000,9.500000,"9,10",6.500000,"5.000000,8.000000",12.000000,"13,11",189,2.000000,"4,0","18017",190
