ID,Simple_numOffspring,alive,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST,snapshotAncestors_LIST,update
77001,2,1,2.500000,"1,4",2,0,0,22,0,0.000000,"0,0",12.000000,"16,8",0.000000,"0,0",0.000000,"0,0",6.500000,"12,1",5576,11.500000,7.500000,"2,13",11.500000,"15.000000,8.000000",7.000000,"13,1",769,0.000000,"0,0","76070,76033,76042,76080,76002,76050,76058,76028,76053,76048,76011,76054,76091,76012,76017,76096,76022,76065,76082,76020,76099,76055,76018,76092,76013,76084,76005,76047,76081,76001,76038,76077,76079,76068,76034,76046,76087,76008,76060,76023,76049,76014,76024,76098,76061,76051,76095,76039,76056,76043,76085,76006,76064,76031,76015,76094,76009,76088,76026,76021,76100,76078,76004,76072,76010,76089,76052,76069,76032,76037,76071,76029,76086,76007,76075,76062,76044,76036,76066",770
77002,3,1,13.500000,"24,3",0,0,0,30,0,0.000000,"0,0",13.500000,"24,3",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5366,13.500000,8.500000,"0,17",13.500000,"24.000000,3.000000",0.000000,"0,0",769,0.000000,"0,0","76050,76042,76058,76053,76048,76011,76054,76091,76012,76017,76096,76022,76065,76082,76020,76099,76055,76018,76092,76013,76084,76005,76047,76002,76081,76001,76038,76077,76079,76068,76034,76046,76087,76008,76060,76023,76049,76014,76024,76098,76061,76051,76095,76039,76056,76043,76085,76006,76064,76031,76015,76094,76009,76088,76026,76021,76100,76078,76004,76072,76010,76089,76052,76069,76032,76037,76071,76029,76086,76007,76075,76066,76062",770
77003,1,1,1.000000,"1,1",0,0,0,24,0,2.000000,"1,3",0.000000,"0,0",0.000000,"0,0",0.500000,"0,1",0.000000,"0,0",5195,2.000000,2.500000,"0,5",2.000000,"1.000000,3.000000",0.500000,"0,1",769,6.500000,"11,2","76028,76026,76071,76034,76077,76042,76079,76094,76015,76013,76092,76055,76018,76033,76006,76085,76043,76036,76029,76012,76091,76011,76048,76052,76089,76010,76047,76004,76078,76044,76023,76060,76009,76088,76038,76001,76075,76031,76068,76050,76039,76081,76002,76022,76017,76096,76053,76095,76069,76032,76021,76100,76024,76061,76005,76084,76008,76087,76082,76064,76066,76054,76037,76062,76099,76020,76051,76014,76065,76072,76049,76086,76007,76098,76058,76074",770
77004,3,1,0.000000,"0,0",0,0,0,22,0,0.000000,"0,0",0.500000,"0,1",10.000000,"13,7",0.000000,"0,0",10.000000,"13,7",5063,10.500000,10.000000,"2,18",10.500000,"13.000000,8.000000",10.000000,"13,7",769,0.000000,"0,0","76046,76028,76067,76066,76029,76032,76069,76091,76012,76086,76007,76068,76031,76099,76020,76051,76014,76064,76075,76038,76042,76079,76098,76087,76008,76013,76092,76074,76048,76082,76034,76058,76036,76072,76022,76096,76017,76043,76077,76055,76018,76011,76085,76006,76005,76084,76047,76010,76089,76004,76078,76100,76021,76044,76081,76061,76053,76065,76037,76060,76023,76054,76039,76056,76049,76015,76094,76001,76033,76024,76026,76095,76052,76062,76009,76088",770
77005,5,1,17.500000,"14,21",0,0,0,19,0,0.000000,"0,0",17.500000,"14,21",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5119,17.500000,1.000000,"0,2",17.500000,"14.000000,21.000000",0.000000,"0,0",769,0.000000,"0,0","76046,76049,76056,76079,76053,76048,76011,76085,76006,76043,76052,76089,76010,76026,76100,76021,76061,76095,76012,76091,76081,76002,76044,76062,76034,76031,76068,76014,76051,76064,76050,76013,76092,76023,76054,76036,76039,76055,76018,76077,76094,76015,76065,76020,76099,76078,76004,76088,76009,76072,76005,76084,76069,76032,76037,76071,76029,76007,76086,76075,76017,76096,76022,76024,76047,76038,76001,76060,76082,76008,76087,76066,76042,76074,76058,76098",770
77006,4,1,1.000000,"1,1",0,0,0,27,0,8.500000,"12,5",0.000000,"0,0",0.000000,"0,0",9.500000,"8,11",0.000000,"0,0",5095,12.000000,2.000000,"3,1",12.000000,"13.000000,11.000000",6.000000,"7,5",769,0.000000,"0,0","76044,76036,76082,76008,76087,76054,76100,76021,76095,76094,76015,76052,76089,76010,76069,76032,76013,76092,76068,76046,76088,76009,76077,76024,76061,76098,76081,76002,76078,76001,76023,76039,76079,76042,76005,76084,76072,76018,76055,76038,76075,76058,76060,76091,76012,76007,76086,76029,76066,76048,76011,76047,76022,76017,76096,76056,76031,76026,76037,76004,76050,76051,76014,76034,76085,76006,76043,76064,76065,76099,76020,76062,76053,76049,76071,76067",770
77007,0,1,1.000000,"1,1",0,0,0,22,0,0.000000,"0,0",11.000000,"11,11",0.000000,"0,0",0.000000,"0,0",9.000000,"9,9",5054,8.000000,2.500000,"4,1",8.000000,"8.000000,8.000000",12.000000,"12,12",769,0.000000,"0,0","76070,76033,76067,76065,76077,76100,76021,76023,76060,76043,76081,76002,76054,76072,76055,76018,76004,76078,76053,76022,76096,76017,76011,76085,76006,76056,76039,76034,76064,76047,76010,76089,76031,76042,76038,76075,76058,76069,76066,76029,76052,76015,76094,76048,76008,76082,76099,76020,76086,76007,76091,76012,76088,76009,76014,76051,76037,76032,76092,76013,76005,76084,76079,76061,76068,76024,76095,76050,76026,76071,76049,76062,76080,76001",770
77008,4,1,0.500000,"1,0",0,0,0,18,0,0.000000,"0,0",8.000000,"13,3",0.000000,"0,0",5.500000,"8,3",0.000000,"0,0",5072,9.000000,3.500000,"5,2",9.000000,"14.000000,4.000000",4.500000,"7,2",769,0.000000,"0,0","76058,76046,76009,76074,76098,76026,76071,76050,76095,76024,76042,76100,76021,76053,76064,76023,76060,76065,76015,76094,76077,76013,76092,76055,76018,76047,76010,76089,76052,76039,76022,76056,76067,76066,76029,76034,76012,76091,76086,76007,76049,76069,76032,76002,76081,76072,76004,76078,76079,76084,76005,76087,76008,76082,76062,76020,76099,76028,76068,76031,76051,76014,76037,76054,76017,76096,76011,76048,76085,76006,76043,76033,76038,76001,76061,76036,76075,76044",770
77009,0,1,1.000000,"1,1",0,0,0,18,0,0.000000,"0,0",0.000000,"0,0",9.000000,"13,5",0.500000,"1,0",7.500000,"11,4",5515,9.000000,1.500000,"2,1",9.000000,"12.000000,6.000000",8.000000,"13,3",769,0.000000,"0,0","76049,76056,76029,76066,76032,76069,76020,76099,76062,76061,76096,76017,76022,76053,76072,76078,76004,76013,76092,76021,76100,76079,76042,76009,76088,76060,76068,76071,76054,76008,76087,76082,76047,76055,76018,76038,76075,76001,76026,76031,76064,76052,76050,76024,76039,76081,76002,76089,76010,76095,76058,76023,76074,76037,76014,76051,76065,76043,76091,76012,76015,76094,76006,76085,76011,76034,76086,76007,76077,76084,76005,76098,76046,76048",770
77010,1,1,2.000000,"3,1",0,0,0,28,0,0.000000,"0,0",0.000000,"0,0",4.500000,"2,7",0.000000,"0,0",11.000000,"11,11",4620,11.000000,1.500000,"3,0",11.000000,"11.000000,11.000000",4.500000,"2,7",769,0.000000,"0,0","76046,76071,76070,76064,76081,76002,76043,76006,76085,76048,76011,76096,76017,76022,76039,76055,76018,76004,76072,76047,76053,76024,76038,76075,76021,76100,76095,76058,76094,76015,76026,76052,76034,76014,76082,76050,76054,76042,76056,76077,76060,76061,76089,76010,76069,76032,76020,76099,76062,76031,76092,76013,76037,76079,76084,76005,76066,76029,76065,76007,76086,76012,76091,76051,76008,76087,76049,76080,76001,76098,76033,76078,76023,76067,76009,76088,76068",770
