ID,Simple_numOffspring,alive,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST,snapshotAncestors_LIST,update
51001,1,1,1.000000,"1,1",0,0,0,34,0,14.500000,"14,15",0.000000,"0,0",0.000000,"0,0",7.500000,"8,7",0.000000,"0,0",5441,13.000000,6.500000,"6,7",13.000000,"12.000000,14.000000",9.000000,"10,8",509,0.000000,"0,0","50050,50056,50060,50049,50027,50028,50065,50087,50051,50088,50009,50071,50034,50015,50094,50100,50021,50063,50093,50096,50084,50005,50042,50025,50062,50045,50054,50058,50097,50046,50038,50039,50035,50053,50011,50085,50006,50040,50070,50033,50055,50089,50052,50077,50026,50022,50023,50074,50067,50012,50091,50076,50002,50081,50086,50007,50044,50043,50024,50075,50080,50001,50041,50078,50016,50095,50013,50092,50061,50004,50020,50099,50064,50029,50048",510
51002,3,1,1.000000,"1,1",0,1,0,33,0,13.000000,"12,14",0.500000,"1,0",0.000000,"0,0",7.500000,"8,7",0.000000,"0,0",5122,13.000000,5.500000,"9,2",13.000000,"12.000000,14.000000",8.000000,"9,7",509,0.000000,"0,0","50060,50043,50048,50025,50062,50071,50034,50012,50091,50054,50035,50041,50078,50095,50016,50053,50046,50009,50088,50051,50026,50063,50100,50021,50096,50022,50028,50065,50024,50074,50042,50056,50093,50039,50076,50067,50033,50070,50023,50097,50011,50064,50044,50038,50075,50080,50001,50055,50004,50081,50002,50058,50005,50084,50061,50020,50085,50006,50045,50089,50052,50094,50015,50007,50086,50049,50092,50013,50087,50077,50040,50027,50003",510
51003,1,1,0.500000,"1,0",0,0,0,22,0,0.000000,"0,0",6.000000,"7,5",0.000000,"0,0",0.000000,"0,0",9.000000,"13,5",5332,6.000000,2.000000,"1,3",6.000000,"8.000000,4.000000",9.000000,"12,6",509,0.000000,"0,0","50004,50027,50003,50064,50060,50048,50061,50051,50088,50009,50046,50053,50095,50016,50041,50092,50013,50055,50035,50038,50084,50005,50070,50033,50049,50086,50007,50022,50067,50044,50065,50093,50042,50074,50011,50054,50087,50063,50100,50021,50058,50040,50077,50026,50076,50039,50081,50002,50056,50023,50097,50071,50034,50043,50006,50085,50025,50020,50099,50062,50045,50028,50096,50052,50089,50010,50094,50015,50075,50080,50001,50024,50078,50012,50091,50050",510
51004,0,1,1.000000,"1,1",1,0,0,21,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",1.000000,"1,1",0.000000,"0,0",5964,1.000000,2.000000,"2,2",1.000000,"1.000000,1.000000",0.000000,"0,0",509,0.000000,"0,0","50003,50096,50034,50071,50086,50007,50049,50081,50002,50044,50076,50005,50084,50070,50033,50041,50004,50054,50020,50099,50067,50050,50053,50095,50016,50023,50065,50092,50013,50055,50027,50043,50006,50085,50080,50001,50062,50025,50056,50093,50045,50046,50063,50026,50097,50051,50088,50009,50035,50052,50010,50089,50094,50015,50087,50100,50021,50077,50040,50038,50075,50028,50042,50024,50061,50078,50060,50022,50074,50039,50048,50011,50064,50091,50012,50029",510
51005,2,1,1.000000,"0,2",0,0,0,35,0,0.000000,"0,0",10.500000,"11,10",7.500000,"11,4",0.500000,"1,0",0.000000,"0,0",5441,8.000000,1.000000,"1,1",8.000000,"9.000000,7.000000",10.500000,"14,7",509,0.000000,"0,0","50029,50027,50050,50048,50028,50065,50033,50070,50064,50035,50087,50080,50001,50038,50075,50007,50086,50044,50012,50091,50061,50097,50060,50094,50015,50067,50056,50078,50041,50004,50092,50013,50055,50058,50021,50100,50052,50089,50045,50026,50063,50020,50099,50062,50025,50022,50096,50076,50023,50040,50077,50074,50084,50005,50042,50093,50046,50051,50088,50009,50095,50016,50053,50006,50085,50043,50071,50034,50002,50081,50049,50024,50054,50039,50011",510
51006,0,1,0.000000,"0,0",0,0,0,34,0,0.500000,"0,1",0.000000,"0,0",0.500000,"1,0",0.500000,"1,0",0.500000,"0,1",5554,1.000000,0.500000,"1,0",1.000000,"1.000000,1.000000",1.000000,"1,1",509,0.000000,"0,0","50003,50022,50050,50053,50016,50095,50087,50049,50005,50084,50056,50034,50051,50088,50009,50028,50096,50015,50094,50020,50025,50024,50029,50097,50074,50077,50040,50054,50012,50091,50043,50080,50001,50006,50085,50064,50067,50048,50011,50075,50046,50042,50093,50038,50062,50045,50071,50035,50086,50007,50044,50058,50065,50063,50021,50100,50041,50078,50004,50033,50070,50081,50002,50076,50039,50013,50092,50055,50023,50060,50052,50089,50027,50026,50061",510
51007,3,1,1.000000,"1,1",0,0,0,24,0,0.000000,"0,0",8.000000,"5,11",0.000000,"0,0",0.000000,"0,0",4.500000,"4,5",5239,7.000000,2.500000,"0,5",7.000000,"4.000000,10.000000",5.500000,"5,6",509,0.000000,"0,0","50060,50004,50003,50039,50044,50061,50078,50041,50051,50009,50088,50063,50100,50021,50026,50074,50094,50015,50052,50089,50012,50091,50045,50096,50038,50029,50043,50034,50071,50058,50013,50092,50027,50064,50077,50040,50097,50023,50062,50020,50099,50048,50085,50006,50049,50007,50086,50087,50070,50033,50065,50028,50076,50081,50002,50056,50025,50042,50005,50084,50067,50046,50080,50001,50075,50022,50035,50055,50095,50016,50053,50050,50024,50093",510
51008,1,1,0.500000,"0,1",0,0,0,23,0,0.000000,"0,0",8.000000,"7,9",0.000000,"0,0",0.500000,"1,0",8.500000,"6,11",5510,10.000000,2.500000,"3,2",10.000000,"8.000000,12.000000",7.000000,"6,8",509,0.000000,"0,0","50003,50061,50076,50070,50033,50028,50065,50052,50089,50086,50007,50081,50002,50063,50026,50100,50021,50058,50084,50005,50042,50024,50041,50029,50093,50054,50051,50088,50009,50040,50006,50085,50097,50023,50074,50011,50022,50096,50071,50034,50046,50012,50091,50049,50075,50053,50095,50016,50044,50087,50045,50055,50092,50013,50067,50025,50064,50027,50048,50060,50015,50094,50035,50001,50080,50043,50077,50099,50020,50056,50004,50078,50062,50039,50038",510
51009,0,1,1.500000,"2,1",0,0,0,33,0,0.000000,"0,0",13.000000,"11,15",0.000000,"0,0",0.000000,"0,0",6.500000,"3,10",5386,11.000000,2.000000,"2,2",11.000000,"8.000000,14.000000",8.500000,"6,11",509,0.000000,"0,0","50046,50053,50016,50095,50092,50013,50055,50035,50038,50084,50005,50070,50033,50049,50086,50007,50044,50077,50040,50042,50093,50065,50021,50100,50058,50024,50022,50074,50041,50078,50067,50011,50091,50012,50054,50050,50087,50063,50009,50088,50051,50061,50026,50076,50039,50081,50002,50056,50023,50097,50071,50034,50043,50085,50006,50025,50099,50020,50062,50045,50028,50096,50052,50010,50089,50094,50015,50075,50080,50001,50029,50064,50048,50027,50004",510
51010,2,1,1.000000,"1,1",0,0,0,33,0,0.000000,"0,0",10.000000,"11,9",0.000000,"0,0",0.000000,"0,0",15.500000,"14,17",5645,13.500000,5.000000,"4,6",13.500000,"17.000000,10.000000",12.000000,"8,16",509,0.000000,"0,0","50060,50064,50048,50041,50078,50094,50015,50028,50065,50035,50071,50034,50051,50007,50086,50021,50100,50049,50012,50091,50006,50085,50023,50074,50077,50040,50046,50039,50056,50075,50063,50026,50055,50054,50022,50096,50061,50027,50011,50070,50033,50087,50050,50062,50025,50095,50016,50053,50067,50043,50088,50009,50002,50081,50076,50097,50029,50045,50013,50092,50052,50089,50010,50080,50001,50038,50005,50084,50042,50044,50058,50024,50004,50093,50099,50020",510
