ID,Simple_numOffspring,alive,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST,snapshotAncestors_LIST,update
26001,1,1,1.500000,"2,1",0,0,0,23,0,0.500000,"1,0",6.000000,"7,5",3.500000,"1,6",0.000000,"0,0",0.000000,"0,0",4705,7.500000,6.500000,"13,0",7.500000,"6.000000,9.000000",2.500000,"3,2",259,0.000000,"0,0","25004,25052,25063,25069,25053,25017,25096,25054,25038,25001,25075,25099,25020,25062,25027,25064,25056,25077,25015,25094,25012,25049,25065,25014,25051,25018,25097,25023,25006,25057,25035,25022,25055,25047,25095,25058,25082,25045,25029,25100,25072,25086,25007,25081,25092,25041,25036,25087,25008,25050,25059,25042,25071,25043,25068,25090,25011,25048,25010,25089,25098,25061,25026,25078",260
26002,0,1,1.000000,"1,1",0,0,0,24,0,4.500000,"4,5",0.000000,"0,0",0.000000,"0,0",2.500000,"2,3",0.000000,"0,0",4606,3.000000,0.500000,"1,0",3.000000,"3.000000,3.000000",4.000000,"3,5",259,0.000000,"0,0","25026,25006,25004,25023,25051,25061,25064,25027,25054,25017,25096,25071,25097,25018,25092,25055,25042,25075,25038,25001,25082,25045,25036,25041,25078,25047,25010,25089,25052,25014,25056,25053,25090,25011,25057,25094,25048,25100,25063,25087,25050,25098,25095,25058,25029,25065,25069,25081,25007,25086,25068,25077,25022,25059,25043,25020,25099,25062,25072",260
26003,0,1,0.000000,"0,0",0,1,0,23,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",4543,0.000000,0.000000,"0,0",0.000000,"0.000000,0.000000",0.000000,"0,0",259,0.000000,"0,0","25095,25012,25098,25004,25058,25064,25027,25041,25078,25092,25055,25042,25053,25020,25099,25065,25017,25096,25059,25022,25056,25082,25008,25087,25045,25062,25050,25036,25023,25043,25006,25026,25077,25049,25094,25015,25052,25014,25051,25035,25072,25081,25047,25068,25010,25089,25100,25063,25018,25097,25061,25090,25011,25048,25071,25069,25007,25086,25038,25001,25075,25029,25054,25057",260
26004,1,1,1.000000,"1,1",0,0,0,25,0,0.000000,"0,0",1.000000,"1,1",1.000000,"2,0",0.000000,"0,0",0.000000,"0,0",4558,1.000000,0.000000,"0,0",1.000000,"1.000000,1.000000",1.000000,"2,0",259,0.000000,"0,0","25049,25012,25035,25081,25042,25045,25082,25098,25048,25020,25099,25057,25015,25094,25043,25059,25022,25047,25010,25089,25052,25069,25077,25064,25027,25072,25095,25058,25068,25065,25062,25097,25018,25029,25092,25055,25050,25026,25063,25100,25007,25086,25054,25017,25096,25001,25075,25038,25056,25011,25090,25053,25036,25008,25087,25078,25006,25004,25051,25061,25023,25071,25041,25014",260
26005,7,1,1.000000,"1,1",0,0,0,28,0,0.000000,"0,0",5.000000,"2,8",6.000000,"3,9",0.000000,"0,0",0.000000,"0,0",4522,4.000000,2.000000,"2,2",4.000000,"2.000000,6.000000",7.000000,"3,11",259,0.000000,"0,0","25077,25065,25056,25094,25057,25098,25061,25026,25100,25063,25029,25071,25068,25069,25006,25023,25059,25022,25096,25017,25082,25095,25058,25054,25014,25051,25052,25075,25038,25001,25078,25053,25055,25050,25027,25064,25043,25089,25010,25047,25020,25099,25062,25045,25048,25011,25090,25041,25092,25081,25007,25086,25018,25097,25042,25036,25008,25087,25072,25035,25004",260
26006,3,1,1.000000,"1,1",0,0,0,19,0,2.500000,"1,4",0.000000,"0,0",0.000000,"0,0",4.000000,"3,5",0.000000,"0,0",4785,4.000000,2.000000,"2,2",4.000000,"2.000000,6.000000",2.500000,"2,3",259,0.000000,"0,0","25023,25026,25051,25004,25006,25049,25035,25061,25064,25027,25054,25017,25096,25071,25097,25018,25092,25055,25042,25075,25038,25001,25082,25045,25036,25041,25078,25047,25010,25089,25052,25014,25056,25053,25090,25011,25057,25015,25094,25048,25100,25063,25087,25050,25098,25095,25058,25029,25065,25069,25081,25007,25086,25068,25077,25022,25059,25043,25020,25099,25062,25072",260
26007,1,1,0.000000,"0,0",0,0,0,19,0,3.000000,"4,2",0.000000,"0,0",0.000000,"0,0",3.000000,"4,2",0.000000,"0,0",4493,3.000000,2.000000,"3,1",3.000000,"4.000000,2.000000",3.000000,"4,2",259,0.000000,"0,0","25063,25069,25053,25017,25096,25054,25038,25001,25075,25099,25020,25062,25027,25064,25056,25077,25015,25094,25012,25049,25065,25014,25051,25097,25018,25023,25006,25057,25035,25022,25055,25047,25095,25058,25082,25045,25029,25100,25072,25086,25007,25081,25092,25041,25036,25008,25087,25050,25059,25042,25071,25043,25068,25090,25011,25048,25010,25089,25098,25004,25061,25078,25052,25026",260
26008,1,1,1.000000,"1,1",0,0,0,18,0,0.000000,"0,0",5.000000,"6,4",5.500000,"5,6",0.000000,"0,0",0.000000,"0,0",4567,4.000000,0.500000,"0,1",4.000000,"4.000000,4.000000",6.500000,"7,6",259,0.000000,"0,0","25027,25092,25055,25054,25017,25096,25071,25097,25018,25042,25075,25038,25001,25082,25045,25008,25087,25050,25041,25078,25047,25010,25089,25049,25072,25015,25094,25051,25063,25100,25026,25036,25056,25053,25090,25011,25057,25048,25064,25061,25098,25095,25058,25029,25065,25069,25081,25007,25086,25068,25077,25022,25059,25043,25020,25099,25062,25012,25052,25004,25014,25006,25023",260
26009,2,1,1.000000,"0,2",0,0,0,16,0,3.000000,"0,6",0.000000,"0,0",0.000000,"0,0",1.000000,"0,2",0.000000,"0,0",5150,2.000000,0.500000,"0,1",2.000000,"0.000000,4.000000",2.000000,"0,4",259,0.000000,"0,0","25004,25012,25010,25089,25029,25097,25018,25061,25065,25072,25081,25056,25043,25057,25069,25038,25001,25075,25068,25036,25015,25094,25052,25077,25051,25014,25099,25020,25062,25048,25011,25090,25059,25022,25096,25017,25054,25026,25063,25100,25047,25042,25045,25082,25071,25064,25027,25041,25078,25049,25007,25086,25053,25008,25087,25050,25092,25095,25023,25055,25058,25098,25035,25006",260
26010,2,1,1.000000,"1,1",0,0,0,32,0,0.000000,"0,0",2.500000,"1,4",4.500000,"0,9",0.000000,"0,0",0.000000,"0,0",4648,5.500000,7.000000,"5,9",5.500000,"1.000000,10.000000",1.500000,"0,3",259,0.000000,"0,0","25078,25004,25051,25058,25023,25006,25055,25092,25029,25097,25018,25007,25086,25081,25012,25049,25020,25099,25062,25008,25087,25050,25036,25098,25061,25064,25027,25077,25042,25041,25100,25026,25068,25011,25090,25017,25096,25054,25056,25059,25022,25053,25075,25001,25038,25071,25072,25069,25094,25057,25047,25010,25089,25095,25065,25014,25082,25045,25043,25048,25035,25052,25063",260
