update,ID,Simple_numOffspring,alive,ancestors_AVE,ancestors_LIST,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST
590,59087,2,1,58083.000000,"58083",5.000000,"4,6",31,33,0,8523,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5.000000,"4,6",0.000000,"0,0",4044,5.000000,7.500000,"15,0",5.000000,"4.000000,6.000000",0.000000,"0,0",589,0.000000,"0,0"
590,59086,3,1,58083.000000,"58083",7.500000,"8,7",31,32,0,8521,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",7.500000,"8,7",0.000000,"0,0",4281,7.500000,13.000000,"4,22",7.500000,"8.000000,7.000000",0.000000,"0,0",589,0.000000,"0,0"
590,59083,1,1,58048.000000,"58048",4.500000,"9,0",45,47,0,10532,0,0.000000,"0,0",0.000000,"0,0",4.500000,"9,0",0.000000,"0,0",0.000000,"0,0",3015,4.500000,3.000000,"6,0",4.500000,"9.000000,0.000000",0.000000,"0,0",589,0.000000,"0,0"
590,59004,1,1,58083.000000,"58083",10.000000,"7,13",31,33,0,8538,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",10.000000,"7,13",0.000000,"0,0",4016,10.000000,0.500000,"1,0",10.000000,"7.000000,13.000000",0.000000,"0,0",589,0.000000,"0,0"
590,59081,3,1,58033.000000,"58033",0.000000,"0,0",35,42,0,10132,0,3.500000,"3,4",4.500000,"6,3",3.000000,"3,3",3.000000,"4,2",5.000000,"4,6",3150,4.000000,7.500000,"10,5",4.000000,"5.000000,3.000000",15.000000,"15,15",589,0.500000,"1,0"
590,59073,2,1,58033.000000,"58033",0.000000,"0,0",36,42,0,10131,0,2.500000,"1,4",8.500000,"8,9",4.500000,"5,4",0.000000,"0,0",3.500000,"6,1",3523,7.000000,10.000000,"12,8",7.000000,"6.000000,8.000000",12.000000,"14,10",589,3.000000,"0,6"
590,59042,2,1,58033.000000,"58033",0.000000,"0,0",35,42,0,10125,0,4.500000,"4,5",5.500000,"5,6",2.500000,"3,2",0.000000,"0,0",5.000000,"6,4",3150,5.500000,11.000000,"9,13",5.500000,"7.000000,4.000000",12.000000,"11,13",589,3.500000,"6,1"
590,59033,4,1,58048.000000,"58048",8.500000,"8,9",46,47,0,10535,0,0.000000,"0,0",0.000000,"0,0",8.500000,"8,9",0.000000,"0,0",0.000000,"0,0",3447,8.500000,9.000000,"3,15",8.500000,"8.000000,9.000000",0.000000,"0,0",589,0.000000,"0,0"
590,59009,3,1,58054.000000,"58054",0.000000,"0,0",34,42,0,10098,0,4.500000,"7,2",6.500000,"6,7",1.000000,"2,0",0.000000,"0,0",7.000000,"8,6",2715,7.000000,13.500000,"11,16",7.000000,"6.000000,8.000000",12.000000,"17,7",589,2.500000,"0,5"
590,59014,2,1,58033.000000,"58033",0.000000,"0,0",35,44,0,10116,0,6.500000,"7,6",7.000000,"8,6",3.000000,"5,1",0.000000,"0,0",5.500000,"4,7",2817,8.000000,8.000000,"7,9",8.000000,"6.000000,10.000000",14.000000,"18,10",589,1.000000,"0,2"
