update,ID,Simple_numOffspring,alive,ancestors_AVE,ancestors_LIST,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST
130,13090,2,1,12080.000000,"12080",0.000000,"0,0",12,13,0,3068,0,5.500000,"3,8",4.000000,"5,3",5.500000,"8,3",3.000000,"1,5",2.500000,"2,3",4497,6.000000,11.500000,"10,13",6.000000,"8.000000,4.000000",14.500000,"11,18",129,0.000000,"0,0"
130,13089,1,1,12080.000000,"12080",0.500000,"1,0",12,13,0,3045,0,4.000000,"5,3",2.000000,"1,3",0.500000,"0,1",1.500000,"1,2",2.000000,"0,4",4606,4.000000,15.000000,"17,13",4.000000,"4.000000,4.000000",6.000000,"3,9",129,1.500000,"0,3"
130,13003,2,1,12082.000000,"12082",14.000000,"12,16",10,15,0,2863,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",14.000000,"12,16",0.000000,"0,0",3616,14.000000,6.500000,"6,7",14.000000,"12.000000,16.000000",0.000000,"0,0",129,0.000000,"0,0"
130,13082,4,1,12039.000000,"12039",12.500000,"19,6",9,11,0,2815,0,0.000000,"0,0",0.000000,"0,0",12.500000,"19,6",0.000000,"0,0",0.000000,"0,0",4140,12.500000,30.000000,"3,57",12.500000,"19.000000,6.000000",0.000000,"0,0",129,0.000000,"0,0"
130,13005,1,1,12033.000000,"12033",3.000000,"2,4",11,10,0,3120,0,0.000000,"0,0",0.000000,"0,0",3.000000,"2,4",0.000000,"0,0",0.000000,"0,0",5359,3.000000,0.000000,"0,0",3.000000,"2.000000,4.000000",0.000000,"0,0",129,0.000000,"0,0"
130,13068,3,1,12082.000000,"12082",7.000000,"12,2",10,14,0,2864,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",7.000000,"12,2",0.000000,"0,0",3892,7.000000,45.500000,"3,88",7.000000,"12.000000,2.000000",0.000000,"0,0",129,0.000000,"0,0"
130,13067,2,1,12080.000000,"12080",0.000000,"0,0",11,13,0,3029,0,4.500000,"5,4",3.000000,"2,4",1.000000,"2,0",1.500000,"1,2",6.500000,"7,6",4289,4.500000,11.500000,"12,11",4.500000,"6.000000,3.000000",12.000000,"11,13",129,3.500000,"0,7"
130,13059,1,1,12080.000000,"12080",0.000000,"0,0",11,12,0,3042,0,3.000000,"1,5",4.500000,"4,5",2.000000,"2,2",3.000000,"5,1",5.000000,"6,4",4494,4.000000,10.000000,"8,12",4.000000,"5.000000,3.000000",13.500000,"13,14",129,1.000000,"1,1"
130,13051,1,1,12044.000000,"12044",1.500000,"2,1",7,12,0,2764,0,0.000000,"0,0",0.000000,"0,0",3.500000,"6,1",1.000000,"2,0",0.000000,"0,0",3217,2.500000,0.000000,"0,0",2.500000,"4.000000,1.000000",2.000000,"4,0",129,0.000000,"0,0"
130,13010,2,1,12080.000000,"12080",0.000000,"0,0",11,13,0,3037,0,4.000000,"3,5",5.500000,"6,5",2.000000,"1,3",2.500000,"1,4",2.000000,"2,2",4018,4.500000,9.500000,"6,13",4.500000,"4.000000,5.000000",11.500000,"9,14",129,2.000000,"4,0"
130,13033,3,1,12080.000000,"12080",0.000000,"0,0",11,13,0,3016,0,3.500000,"3,4",2.500000,"4,1",4.500000,"3,6",6.000000,"4,8",6.500000,"8,5",4289,7.000000,8.000000,"9,7",7.000000,"8.000000,6.000000",16.000000,"14,18",129,1.500000,"0,3"
130,13023,3,1,12080.000000,"12080",0.000000,"0,0",11,13,0,3076,0,6.000000,"5,7",1.500000,"1,2",2.500000,"5,0",3.000000,"3,3",4.000000,"3,5",4191,3.000000,8.500000,"8,9",3.000000,"3.000000,3.000000",14.000000,"14,14",129,1.000000,"2,0"
130,13018,2,1,12098.000000,"12098",1.000000,"1,1",10,12,0,2807,0,0.000000,"0,0",4.500000,"6,3",7.500000,"10,5",0.000000,"0,0",0.000000,"0,0",4026,7.000000,1.500000,"1,2",7.000000,"9.000000,5.000000",5.000000,"7,3",129,0.000000,"0,0"
