update,ID,Simple_numOffspring,alive,ancestors_AVE,ancestors_LIST,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST
400,40097,3,1,39007.000000,"39007",0.000000,"0,0",27,32,0,7664,0,5.000000,"4,6",4.000000,"6,2",1.000000,"0,2",0.000000,"0,0",7.000000,"7,7",3864,7.500000,12.000000,"10,14",7.500000,"8.000000,7.000000",9.500000,"9,10",399,1.500000,"0,3"
400,40094,3,1,39081.000000,"39081",7.500000,"3,12",27,32,0,7081,0,0.000000,"0,0",0.000000,"0,0",7.500000,"3,12",0.000000,"0,0",0.000000,"0,0",2439,7.500000,1.500000,"2,1",7.500000,"3.000000,12.000000",0.000000,"0,0",399,0.000000,"0,0"
400,40090,1,1,39096.000000,"39096",0.000000,"0,0",23,33,0,7528,0,8.000000,"7,9",4.000000,"3,5",1.000000,"1,1",0.000000,"0,0",6.000000,"5,7",2218,5.000000,10.500000,"13,8",5.000000,"3.000000,7.000000",14.000000,"13,15",399,3.000000,"4,2"
400,40086,1,1,39078.000000,"39078",3.000000,"5,1",30,33,0,7177,0,0.000000,"0,0",1.000000,"1,1",6.000000,"10,2",0.000000,"0,0",0.000000,"0,0",3362,6.000000,2.000000,"4,0",6.000000,"10.000000,2.000000",1.000000,"1,1",399,0.000000,"0,0"
400,40084,2,1,39096.000000,"39096",0.000000,"0,0",24,33,0,7539,0,5.000000,"6,4",3.500000,"3,4",4.000000,"2,6",0.000000,"0,0",3.500000,"3,4",2503,5.000000,13.500000,"13,14",5.000000,"5.000000,5.000000",11.000000,"9,13",399,3.000000,"6,0"
400,40071,2,1,39022.000000,"39022",5.500000,"5,6",22,31,0,6072,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",5.500000,"5,6",0.000000,"0,0",1873,5.500000,1.000000,"2,0",5.500000,"5.000000,6.000000",0.000000,"0,0",399,0.000000,"0,0"
400,40060,1,1,39098.000000,"39098",0.000000,"0,0",22,34,0,7446,0,5.500000,"6,5",5.500000,"3,8",4.000000,"0,8",0.500000,"0,1",3.000000,"4,2",1989,5.500000,12.500000,"16,9",5.500000,"3.000000,8.000000",13.000000,"10,16",399,0.000000,"0,0"
400,40056,3,1,39041.000000,"39041",7.500000,"12,3",21,31,0,6043,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",7.500000,"12,3",0.000000,"0,0",1661,7.500000,13.500000,"11,16",7.500000,"12.000000,3.000000",0.000000,"0,0",399,0.000000,"0,0"
400,40009,3,1,39087.000000,"39087",6.000000,"2,10",22,32,0,6101,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",6.000000,"2,10",0.000000,"0,0",1846,6.000000,1.500000,"3,0",6.000000,"2.000000,10.000000",0.000000,"0,0",399,0.500000,"1,0"
400,40031,3,1,39041.000000,"39041",14.500000,"14,15",21,31,0,6041,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",14.500000,"14,15",0.000000,"0,0",1661,14.500000,15.000000,"4,26",14.500000,"14.000000,15.000000",0.000000,"0,0",399,0.000000,"0,0"
400,40027,2,1,39078.000000,"39078",7.500000,"13,2",31,33,0,7193,0,0.000000,"0,0",0.000000,"0,0",7.500000,"13,2",0.000000,"0,0",0.000000,"0,0",3740,7.500000,1.000000,"2,0",7.500000,"13.000000,2.000000",0.000000,"0,0",399,0.000000,"0,0"
400,40016,3,1,39098.000000,"39098",0.000000,"0,0",22,34,0,7444,0,5.500000,"6,5",7.500000,"7,8",3.500000,"2,5",0.000000,"0,0",8.500000,"7,10",1989,7.000000,7.500000,"11,4",7.000000,"6.000000,8.000000",18.000000,"16,20",399,0.500000,"1,0"
400,40013,4,1,39041.000000,"39041",8.000000,"6,10",21,31,0,6046,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",8.000000,"6,10",0.000000,"0,0",1661,8.000000,26.000000,"1,51",8.000000,"6.000000,10.000000",0.000000,"0,0",399,0.000000,"0,0"
400,40015,2,1,39087.000000,"39087",9.000000,"8,10",22,31,0,6095,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",9.000000,"8,10",0.000000,"0,0",2123,9.000000,7.500000,"8,7",9.000000,"8.000000,10.000000",0.000000,"0,0",399,0.500000,"0,1"
